"","new_cost","area","perimeter","solution","scenario","best_solution","per_circle","fragmentation"
"1",37279167.7843092,346599999992.072,102379999.998922,"r00001",1,"NO",2086984.44048758,49.0564270690024
"2",37235514.18427,346999999992.325,103179999.998898,"r00002",1,"NO",2088188.35431246,49.4112515213552
"3",37228971.1510836,347099999992.808,103439999.998975,"r00003",1,"YES",2088489.22433267,49.5286251869585
"4",37546671.7392047,346499999991.952,102799999.9989,"r00004",1,"NO",2086683.35350007,49.2647817535276
"5",37260050.5942026,346199999991.703,104019999.998681,"r00005",1,"NO",2085779.83176242,49.8710354825835
"6",37400178.1372649,346999999992.965,103359999.998975,"r00006",1,"NO",2088188.35431439,49.4974506420477
"7",37516668.5491922,346999999993.069,103039999.998918,"r00007",1,"NO",2088188.3543147,49.3442077607668
"8",37477633.7516678,346299999992.054,103059999.998919,"r00008",1,"NO",2086081.04915718,49.4036413592642
"9",37419227.0457253,346399999994.282,103499999.999238,"r00009",1,"NO",2086382.22306992,49.607401201371
"10",37347017.1633376,346399999992.719,102899999.998797,"r00010",1,"NO",2086382.22306521,49.3198220638697
"11",37062748.443972,346299999993.641,102739999.998915,"r00001",2,"NO",2086081.04916196,49.2502436759052
"12",37137224.8216247,346999999992.935,103779999.998701,"r00002",2,"NO",2088188.3543143,49.6985819235541
"13",37220744.2087002,346399999993.535,103039999.999084,"r00003",2,"NO",2086382.22306767,49.3869238626765
"14",37222254.2043818,346299999991.753,102239999.998915,"r00004",2,"NO",2086081.04915628,49.0105597959708
"15",37269344.7224611,346399999991.803,103099999.998965,"r00005",2,"NO",2086382.22306245,49.4156817764827
"16",37189523.9059685,346299999992.667,102059999.999027,"r00006",2,"NO",2086081.04915903,48.9242735991352
"17",37097133.3717365,346399999993.312,103059999.999024,"r00007",2,"NO",2086382.223067,49.3965098339099
"18",37281173.0359334,346799999992.457,102819999.9989,"r00008",2,"NO",2087586.48418813,49.2530492881049
"19",37340769.2533872,346399999992.592,103059999.999235,"r00009",2,"NO",2086382.22306483,49.3965098340625
"20",36986569.0403752,346699999991.8,102859999.998829,"r00010",2,"YES",2087285.48404268,49.2793155441337
"21",37349547.8017426,346599999992.304,100579999.998969,"r00001",3,"NO",2086984.44048828,48.1939386071496
"22",37308272.5561395,346799999990.907,100819999.999017,"r00002",3,"NO",2087586.48418347,48.2950051472722
"23",37412901.9820657,346399999992.714,101639999.99875,"r00003",3,"NO",2086382.22306519,48.7159058753035
"24",37367940.167881,346299999991.683,100839999.999181,"r00004",3,"NO",2086081.04915606,48.3394449319102
"25",37225885.3355594,346399999991.72,100939999.999054,"r00005",3,"NO",2086382.2230622,48.3803968818827
"26",37072167.0380617,346299999990.788,100379999.99884,"r00006",3,"YES",2086081.04915337,48.1189357621454
"27",37202530.8682503,346399999990.999,101399999.998906,"r00007",3,"NO",2086382.22306003,48.6008742205377
"28",37299360.8037678,346699999992.397,100899999.998959,"r00008",3,"NO",2087285.48404448,48.3402968929043
"29",37295867.4723085,346399999991.582,100899999.998765,"r00009",3,"NO",2086382.22306178,48.3612249392602
"30",37253615.3828273,346699999992.208,100619999.998995,"r00010",3,"NO",2087285.48404391,48.2061513713274
"31",37418836.9602909,347699999992.024,98179999.9992459,"r00001",4,"NO",2090293.53501188,46.9694798145601
"32",37484730.6225619,346399999989.796,97599999.9988091,"r00002",4,"NO",2086382.22305641,46.7795396836884
"33",37325300.9044999,346399999990.957,97659999.9993371,"r00003",4,"NO",2086382.2230599,46.8082975976033
"34",37603029.3656598,346799999990.818,97859999.9989783,"r00004",4,"NO",2087586.4841832,46.8770998185819
"35",37518216.7910245,347099999991.234,96799999.9991159,"r00005",4,"NO",2088489.22432794,46.34929348523
"36",37266940.5280944,346599999991.508,96699999.9993341,"r00006",4,"YES",2086984.44048588,46.3347968118156
"37",37391526.490718,347299999993.644,97999999.9991605,"r00007",4,"NO",2089090.83437917,46.9103585092717
"38",37529497.9123078,346599999991.85,97359999.9991184,"r00008",4,"NO",2086984.44048691,46.6510425810378
"39",37386220.0653978,347099999991.814,97959999.9992466,"r00009",4,"NO",2088489.22432968,46.9047189030567
"40",37499376.3436914,346499999990.69,97139999.9991354,"r00010",4,"NO",2086683.35349628,46.552343380885
"41",37398347.0308656,347399999990.682,95259999.999242,"r00001",5,"NO",2089391.57443292,45.592219842801
"42",37599775.2823383,346199999991.384,96059999.9991961,"r00002",5,"NO",2085779.83176146,46.0547170590255
"43",37857096.5256952,346799999990.642,96179999.9989972,"r00003",5,"NO",2087586.48418267,46.0723427401636
"44",37567401.0842207,346399999992.25,95819999.9994502,"r00004",5,"NO",2086382.2230638,45.92638824287
"45",37560403.2034866,347299999990.86,95899999.9992275,"r00005",5,"NO",2089090.8343708,45.9051365414233
"46",37488857.2029226,346199999991.416,96139999.9991821,"r00006",5,"NO",2085779.83176156,46.0930720180502
"47",37562153.772514,346999999990.812,96199999.9991822,"r00007",5,"NO",2088188.35430791,46.0686411744049
"48",37421125.9185003,347499999992.531,95299999.9991475,"r00008",5,"NO",2089692.27121985,45.6048009133501
"49",37225690.4593943,346599999989.927,95259999.9991037,"r00009",5,"YES",2086984.44048112,45.6448060423215
