"new_cost","area","perimeter","solution","scenario","best_solution","per_circle","fragmentation"
36726605.3494171,346399999992.587,103119999.999156,"r00001",2,"NO",2086382.22306481,49.4252677477652
36732661.3200013,346399999992.2,101919999.999124,"r00002",2,"NO",2086382.22306365,48.8501094729733
36590782.5275976,346299999992.32,102839999.998943,"r00003",2,"YES",2086081.04915798,49.2981804520266
36816583.1867206,346399999994.457,102719999.999148,"r00004",2,"NO",2086382.22307044,49.2335483226936
36899341.4031108,346299999992.77,102539999.999138,"r00005",2,"NO",2086081.04915934,49.1543701240469
36830544.5041334,346199999992.418,102739999.998998,"r00006",2,"NO",2085779.83176458,49.2573561381496
36965887.8533264,346499999991.542,102539999.998882,"r00007",2,"NO",2086683.35349884,49.1401821109795
36811456.7327021,346299999992.764,102099999.999029,"r00008",2,"NO",2086081.04915932,48.9434483095345
36742676.6670226,346399999992.63,102059999.998923,"r00009",2,"NO",2086382.22306494,48.9172112715736
36815493.178452,346499999991.474,102899999.998717,"r00010",2,"NO",2086683.35349863,49.3127046929232
