"new_cost","area","perimeter","solution","scenario","best_solution","per_circle","fragmentation"
36886470.4540965,346499999989.064,93619999.9992847,"r00001",5,"NO",2086683.35349138,44.8654559124375
36815969.1498125,346499999991.132,93579999.9991536,"r00002",5,"YES",2086683.35349761,44.8462867364609
37152595.4180917,346499999989.547,93519999.9992337,"r00003",5,"NO",2086683.35349283,44.8175329729321
37096894.7570744,346399999991.184,93799999.9992486,"r00004",5,"NO",2086382.22306059,44.9582051469218
36995106.7886613,346599999989.431,93819999.9993271,"r00005",5,"NO",2086984.44047963,44.9548152729713
37019832.5739756,347399999990.566,93559999.9992547,"r00006",5,"NO",2089391.57443257,44.7785858544315
37062051.2671928,346399999989.865,93319999.9989784,"r00007",5,"NO",2086382.22305661,44.7281418369554
36925130.0834111,346599999990.892,93019999.9993109,"r00008",5,"NO",2086984.44048403,44.5714870675974
37105157.7966377,346499999990.41,93639999.9988686,"r00009",5,"NO",2086683.35349543,44.8750405000408
37189104.9662103,346699999991.424,94299999.999212,"r00010",5,"NO",2087285.48404155,45.1782953123507
