"new_cost","area","perimeter","solution","scenario","best_solution","per_circle","fragmentation"
36960995.4388281,346499999991.211,96279999.9989627,"r00001",15,"NO",2086683.35349784,46.1402061015015
36959940.1111393,346899999991.944,96419999.9991909,"r00002",15,"NO",2087887.4409364,46.1806504070676
36970441.5972223,346299999991.023,96719999.9989602,"r00003",15,"NO",2086081.04915408,46.3644497600805
36906008.5766343,346399999991.013,96699999.999301,"r00004",15,"NO",2086382.22306007,46.3481709777379
36883299.2757927,346399999990.507,95999999.9991734,"r00005",15,"NO",2086382.22305855,46.0126619840738
36953663.691853,346199999991.281,96879999.9992183,"r00006",15,"NO",2085779.83176115,46.4478553891359
36815335.7184823,346299999990.921,96539999.9987349,"r00007",15,"YES",2086081.04915377,46.2781635631544
37105722.9943555,346399999991.145,96959999.9992099,"r00008",15,"NO",2086382.22306047,46.4727886038932
36924951.1441581,346399999990.592,95299999.999314,"r00009",15,"NO",2086382.2230588,45.6771529904988
36859001.9617181,346199999991.106,96979999.999269,"r00010",15,"NO",2085779.83176062,46.4957990879639
