"new_cost","area","perimeter","solution","scenario","best_solution","per_circle","fragmentation"
38572989.9241651,352299999978.427,75239999.9990301,"r00001",9,"NO",2104075.18096851,35.7591785120516
38185765.5454429,352699999979.28,74519999.9992737,"r00002",9,"YES",2105269.32135157,35.3968963702146
38442962.7282291,352399999975.728,75059999.9992208,"r00003",9,"NO",2104373.7795827,35.6685683539097
38385068.0133756,347499999978.568,74939999.9992243,"r00004",9,"NO",2089692.27117786,35.8617395646413
38554821.5407858,348799999979.814,73419999.9992867,"r00005",9,"NO",2093597.39922336,35.0688246109412
38413168.50257,350399999981.404,74799999.9993744,"r00006",9,"NO",2098393.7340351,35.646313075639
38533114.5063617,355199999978.74,75539999.999418,"r00007",9,"NO",2112717.40702661,35.7549001812464
38304357.5503887,353499999978.406,75279999.9994173,"r00008",9,"NO",2107655.5724085,35.7174108449759
38401841.598159,350999999980.559,75319999.9996324,"r00009",9,"NO",2100189.53558858,35.8634298111213
38461994.2590631,351999999980.196,74139999.9992654,"r00010",9,"NO",2103179.13074602,35.2513958109537
