"new_cost","area","perimeter","solution","scenario","best_solution","per_circle","fragmentation"
37294494.3635541,351899999983.687,82699999.9996794,"r00001",8,"NO",2102880.36249997,39.3270114051391
37273403.9579954,347499999986.658,81899999.9993349,"r00002",8,"NO",2089692.27120219,39.1923735030222
37503432.7797914,346399999984.269,80859999.9991397,"r00003",8,"NO",2086382.22303976,38.7560817506058
37156608.1095352,346999999984.336,81319999.9993814,"r00004",8,"YES",2088188.35428842,38.942847196891
37398530.3610461,347799999983.544,82479999.9993051,"r00005",8,"NO",2090594.10203591,39.4528999766059
37408663.5264207,346599999983.888,81459999.9995203,"r00006",8,"NO",2086984.44046294,39.0323945019209
37403119.0779751,349799999984.109,81959999.9992582,"r00007",8,"NO",2096596.39432656,39.0919302451553
37466603.2776294,348699999984.491,81259999.9995102,"r00008",8,"NO",2093297.26341773,38.8191402241824
37281771.9248055,347899999985.422,80979999.9993931,"r00009",8,"NO",2090894.62588442,38.7298331522276
37528429.4190424,348299999984.963,80819999.9993021,"r00010",8,"NO",2092096.28956039,38.6311090950239
