"","new_cost","area","perimeter","solution","scenario","best_solution","per_circle","fragmentation"
"1",37955132.9179945,346899999993.891,104099999.999176,"r00001",1,"NO",2087887.44094226,49.8590096179685
"2",38029399.1174061,347199999993.183,104239999.998824,"r00002",1,"NO",2088790.05101514,49.9044889399793
"3",38148132.989038,346299999993.428,103719999.99925,"r00003",1,"NO",2086081.04916132,49.7200240810149
"4",38106417.7356981,348499999995.363,104139999.998923,"r00004",1,"NO",2092696.86267407,49.7635380720414
"5",38127417.1101102,347599999994.197,104239999.999045,"r00005",1,"NO",2089992.9247436,49.8757669296098
"6",38129901.6299673,347799999994.132,103519999.999157,"r00006",1,"NO",2090594.10206773,49.5170248001606
"7",38082723.0661593,347199999993.122,104719999.998983,"r00007",1,"NO",2088790.05101496,50.1342870472304
"8",38133863.6319324,347199999993.176,104219999.998987,"r00008",1,"NO",2088790.05101512,49.8949140189255
"9",37899072.5616018,348199999992.055,104079999.998961,"r00009",1,"YES",2091795.93837927,49.7562874510608
"10",38144325.7915304,348499999993.894,104419999.999043,"r00010",1,"NO",2092696.86266966,49.8973367149956
"11",38136888.8223475,348399999992.982,103579999.999169,"r00001",2,"NO",2092396.59767324,49.5030435981163
"12",38327432.964683,348999999993.644,104119999.99902,"r00002",2,"NO",2094197.54185976,49.7183278644075
"13",37973176.2303162,348399999992.787,104419999.998958,"r00003",2,"NO",2092396.59767265,49.9044971278884
"14",38002451.2611245,346199999993.003,104219999.999217,"r00004",2,"NO",2085779.83176634,49.9669228803302
"15",38004448.2120036,349099999993.072,104179999.998677,"r00005",2,"NO",2094497.54867026,49.7398529135629
"16",38080013.6409503,347799999991.769,104079999.998764,"r00006",2,"NO",2090594.10206063,49.7848912403303
"17",38554738.1894356,350099999992.501,104859999.999104,"r00007",2,"NO",2097495.25672715,49.9929616826513
"18",37904215.0030673,346399999993.663,103219999.999183,"r00008",2,"YES",2086382.22306805,49.4731976039351
"19",38472870.6446119,349499999992.858,105199999.99904,"r00009",2,"NO",2095697.14644764,50.1980928768081
"20",38119675.2595155,347699999993.626,103779999.999189,"r00010",2,"NO",2090293.53501669,49.6485293862614
"21",38255612.9862849,347099999992.383,102359999.998856,"r00001",3,"NO",2088489.2243314,49.0115049703572
"22",37857898.5056117,348699999992.33,101979999.999168,"r00002",3,"YES",2093297.26344126,48.7173999508884
"23",38332016.6658126,348699999992.85,102279999.999107,"r00003",3,"NO",2093297.26344282,48.8607145221643
"24",38059647.708707,346699999992.605,101279999.998643,"r00004",3,"NO",2087285.4840451,48.522351529205
"25",38791275.0465959,348999999992.776,102379999.998907,"r00005",3,"NO",2094197.54185716,48.887460687264
"26",37881477.850191,347799999992.793,102039999.999212,"r00006",3,"NO",2090594.10206371,48.8090920654969
"27",38077264.6209852,346599999993.109,102099999.998833,"r00007",3,"NO",2086984.4404907,48.922262197042
"28",38138092.4932189,348999999993.117,102239999.999153,"r00008",3,"NO",2094197.54185818,48.8206093052881
"29",38440209.0513229,348699999991.505,102579999.999123,"r00009",3,"NO",2093297.26343878,49.0040290936076
"30",37907073.9197547,347399999992.155,102459999.999161,"r00010",3,"NO",2089391.57443735,49.0381990875752
"31",38426842.5492468,348299999991.935,99739999.999201,"r00001",4,"NO",2092096.28958133,47.6746698973216
"32",38817777.660633,349099999992.848,99659999.9991687,"r00002",4,"NO",2094497.54866959,47.5818174447004
"33",38414606.1042197,347699999991.435,99339999.998977,"r00003",4,"NO",2090293.53501011,47.5244257972106
"34",38699006.5081079,348299999992.004,99319999.999377,"r00004",4,"NO",2092096.28958153,47.4739143193276
"35",38621783.3612445,347499999992.257,100039999.999394,"r00005",4,"NO",2089692.27121902,47.8730774751996
"36",38400742.917885,346799999992.674,99699999.9990252,"r00006",4,"NO",2087586.48418879,47.7585004281955
"37",38731826.4635589,348099999991.219,100299999.999047,"r00007",4,"NO",2091495.54404213,47.9561146017086
"38",38288402.5949846,346399999993.087,99379999.9994984,"r00008",4,"YES",2086382.22306632,47.6326911247554
"39",38307665.1270445,347799999993.173,100939999.999448,"r00009",4,"NO",2090594.10206485,48.2829258437832
"40",38470337.7237507,349199999990.974,100339999.999269,"r00010",4,"NO",2094797.51251065,47.8996176957505
"41",38723611.1562382,350799999990.456,98839999.9990623,"r00001",5,"NO",2099591.10576257,47.0758328742129
"42",38882997.4534893,348999999992.454,98919999.9992696,"r00002",5,"NO",2094197.54185619,47.235276530595
"43",39246963.9756012,351699999991.26,98919999.9991687,"r00003",5,"NO",2102282.6986303,47.0536146559252
