"new_cost","area","perimeter","solution","scenario","best_solution","per_circle","fragmentation"
44682519.2132959,363299999969.292,65859999.99965,"r00001",16,"NO",2136670.87868272,30.8236521856156
45258462.6562641,357499999971.257,65179999.9992618,"r00002",16,"NO",2119546.53033903,30.7518608656523
44776553.8283992,356699999971.309,65619999.9997316,"r00003",16,"NO",2117173.68153427,30.994150632072
45142943.6571082,358499999971.449,65019999.9998046,"r00004",16,"NO",2122508.86096831,30.6335588017955
44615253.1417683,366499999967.081,66679999.9993295,"r00005",16,"NO",2146060.30431322,31.0708882995104
44334395.6731061,347899999971.231,63699999.999257,"r00006",16,"NO",2090894.62584178,30.4654281530863
45148069.7998181,360799999969.711,65639999.9997283,"r00007",16,"NO",2129306.58132646,30.8269370767819
44394853.1526398,353999999972.346,64859999.9994153,"r00008",16,"NO",2109145.60832951,30.7517886594781
44505851.6027981,361299999966.974,64919999.9996369,"r00009",16,"YES",2130781.47695932,30.4676949286603
44622969.2019746,351899999974.965,64279999.9996088,"r00010",16,"NO",2102880.36247391,30.5675972569297
