"new_cost","area","perimeter","solution","scenario","best_solution","per_circle","fragmentation"
36841258.8113921,346499999990.745,94139999.9992773,"r00001",4,"YES",2086683.35349644,45.1146551974628
36868504.2315357,346699999992.431,94839999.9993536,"r00002",4,"NO",2087285.48404458,45.4370045325952
36933581.9225616,346499999989.861,93899999.9991904,"r00003",4,"NO",2086683.35349378,44.9996401427996
37077015.1720815,346199999990.7,94659999.9991754,"r00004",4,"NO",2085779.8317594,45.3835052759751
36974709.7290712,346699999990.731,94819999.9993573,"r00005",4,"NO",2087285.48403946,45.4274227097364
36991666.5674971,346199999991.096,94819999.9992162,"r00006",4,"NO",2085779.8317606,45.4602151940357
36908094.8711453,346599999989.628,94079999.9993433,"r00007",4,"NO",2086984.44048022,45.0793969396797
36840105.975117,346399999989.767,94539999.9991771,"r00008",4,"NO",2086382.22305632,45.3128860831101
37165967.5416045,346599999989.465,94939999.9993066,"r00009",4,"NO",2086984.44047973,45.4914747603403
36892086.9165873,346299999990.542,94639999.9991516,"r00010",4,"NO",2086081.04915263,45.367364819116
