"new_cost","area","perimeter","solution","scenario","best_solution","per_circle","fragmentation"
59714324.2812445,387999999969.505,64679999.9994059,"r00001",14,"NO",2208110.458738,29.2920128807199
60256637.3301465,392099999968.152,65339999.9997876,"r00002",14,"NO",2219746.36332398,29.435795494195
60125296.4528447,402199999967.198,65559999.9996062,"r00003",14,"NO",2248153.52248975,29.1617095290721
61818883.344079,414899999962.13,68639999.9994273,"r00004",14,"NO",2283371.88548465,30.0608063170833
60184614.5269472,401499999962.852,66499999.9999027,"r00005",14,"NO",2246196.29623023,29.6056048669963
61023386.7369805,395899999967.915,65079999.9999,"r00006",14,"NO",2230476.65888294,29.177619833284
60742885.3378021,388499999964.857,63559999.9993025,"r00007",14,"NO",2209532.75224354,28.766262882849
60253841.1789411,402099999966.814,65679999.9993872,"r00008",14,"NO",2247874.02307531,29.2187192543515
59583654.6125919,391199999971.298,62799999.999843,"r00009",14,"YES",2217197.37145267,28.3240458465353
60516644.496715,394499999972.023,65799999.9994641,"r00010",14,"NO",2226529.40852195,29.5527199181009
