"new_cost","area","perimeter","solution","scenario","best_solution","per_circle","fragmentation"
55649076.3005374,376699999969.092,64999999.9994841,"r00001",13,"NO",2175718.68816736,29.8751857733201
53002372.4249738,374499999969.427,63539999.9994012,"r00002",13,"NO",2169356.07835443,29.2897973889098
52587210.7160103,378399999968.343,63299999.9995084,"r00003",13,"NO",2180622.534983,29.0284077065184
55087554.3116837,378999999965.417,64399999.9998959,"r00004",13,"NO",2182350.67356453,29.5094646245411
54180241.2939053,367299999969.224,63279999.9997116,"r00005",13,"NO",2148401.24889821,29.4544606284158
53403395.9785534,390599999966.59,65539999.9996144,"r00006",13,"NO",2215496.4142487,29.5825349019307
53228953.1350335,364999999965.5,63139999.9995832,"r00007",13,"YES",2141664.13655539,29.4817468910584
54855123.2918895,391199999965.355,65519999.9996154,"r00008",13,"NO",2217197.37143583,29.5508198068923
53913506.3044533,368799999968.836,62859999.9993425,"r00009",13,"NO",2152783.6589365,29.1994041010121
53395483.8459367,373499999968.621,63019999.9997033,"r00010",13,"NO",2166457.80574394,29.0889579444465
