"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,12065884647.183767,3900791281.000000,946,16324617.155040,275577496.942233,43668120.383099,16324617.155040,215584759.404087,0.158460,2784788.663743,16.596000,0,0.999424
2,12350252591.722088,3993300492.000000,833,16695707.510159,275577496.942233,37586001.934500,16695707.510159,221295787.497568,0.136390,9098344.642558,71.724000,0,0.987997
3,12223890235.924610,4083913439.000000,865,16279950.482099,275577496.942233,39326947.256100,16279950.482099,219970599.204028,0.142707,1555.875084,0.014000,0,1.000000
4,11268197260.500334,3685607906.000000,851,15156562.649012,275577496.942233,39173702.898500,15156562.649012,221247231.394715,0.142151,4308029.994311,38.490000,0,0.993078
5,12673816136.994303,4110110860.000000,871,17041031.536200,275577496.942233,39203850.741599,17041031.536200,219332614.664427,0.142261,43189508.894274,286.790000,0,0.955882
6,12808867713.472662,4113788198.000000,845,17364282.053439,275577496.942233,37743904.443500,17364282.053439,220469310.445288,0.136963,12938488.753136,94.104000,0,0.990684
7,12322470234.503901,3955222749.000000,842,16666429.703530,275577496.942233,37880974.322300,16666429.703530,221030092.916397,0.137460,34032633.738874,162.806000,0,0.978380
8,12430386369.317734,4202983281.000000,849,16447528.105822,275577496.942233,38107599.585700,16447528.105822,221022369.250706,0.138283,3639035.406707,27.124000,0,0.991841
9,12434030980.356655,3918147890.000000,844,16956217.333722,275577496.942233,37785442.280400,16956217.333722,220835837.328105,0.137114,37774423.495628,119.762000,0,0.954366
10,12361646306.576239,3853083827.000000,856,17004843.883978,275577496.942233,38303406.619300,17004843.883978,220269246.438949,0.138993,6140537.587210,54.452000,0,0.995252
