"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
2000968,Volcanicsuccessionsdominatedbywoodland100,8968015.780000,9246872.000000,0,10,0,0,yes,1.000000
2000967,Volcanicsuccessionsdominatedbyscrub100,22860710.560000,23051597.000000,0,25,0,0,yes,1.000000
2000966,Volcanicsuccessionsdominatedbygrass100,731769.080000,1131462.000000,0,5,0,0,yes,1.000000
2000965,Urban100,0.000000,0.000000,0,0,0,0,,1.000000
2000964,TimberPlantation100,10118765.840000,10846985.000000,0,8,0,0,yes,1.000000
2000961,Swampwoodland100,94917804.080000,94921898.000000,0,129,0,0,yes,1.000000
2000960,Swampgrassland100,2731165.600000,2820342.000000,0,8,0,0,yes,1.000000
2000957,SwampforestwithCampnosperma100,15142310.720000,15413722.000000,0,25,0,0,yes,1.000000
2000955,Swamp100,55623349.920000,56417690.000000,0,80,0,0,yes,1.000000
2000953,SeralForestVolcanicsuccessions100,27412781.520000,28570266.000000,0,26,0,0,yes,1.000000
2000952,Scrub100,3883653.060000,4284580.000000,0,14,0,0,yes,1.000000
2000947,RiverinesuccessionswithEucalyptusdeglupta100,24485008.200000,24542824.000000,0,52,0,0,yes,1.000000
2000944,Riverinesuccessionsdominatedbywoodland100,1237214.440000,1324461.000000,0,3,0,0,yes,1.000000
2000941,Oilpalm100,0.000000,45336262.000000,0,62,0,0,,1.000000
2000940,Mixedforest100,4956992.600000,5126629.000000,0,6,0,0,yes,1.000000
2000938,Mangrove100,45769455.640000,45776668.000000,0,128,0,0,yes,1.000000
2000937,Lakesandlargerrivers100,3494124.580000,3678254.000000,0,40,0,0,yes,1.000000
2000936,Herbaceousswamp100,22134501.840000,22523400.000000,0,33,0,0,yes,1.000000
2000935,Grasslands100,573343.020000,966789.000000,0,3,0,0,yes,1.000000
2000934,Grasslandwithsomeforest100,10700492.240000,10845564.000000,0,13,0,0,yes,1.000000
2000933,Grasslandrevertingtoforest100,462012.060000,529727.000000,0,1,0,0,yes,1.000000
2000931,ForestwithCasuarinaequisetifoliaLittoral100,568292.660000,1216263.000000,0,5,0,0,yes,1.000000
2000928,ForestVerySmallCrownLowMontane1000mNotho100,28448717.320000,46273071.000000,0,46,0,0,yes,1.000000
2000926,ForestVerySmallCrownLowMontane1000m100,41197124.760000,41915126.000000,0,47,0,0,yes,1.000000
2000925,ForestSmallCrownLowMontane1000mwNothofag100,4637271.220000,4912788.000000,0,4,0,0,yes,1.000000
2000923,ForestSmallCrownLowMontane1000m100,155167616.280000,155506731.000000,0,189,0,0,yes,1.000000
2000920,ForestSmallCrownLowAltUplands1000m100,308177647.980000,308221784.000000,0,223,0,0,yes,1.000000
2000919,ForestSmallCrownLowAltPlains1000m100,2834048.580000,2835378.000000,0,8,0,0,yes,1.000000
2000918,ForestSmallCrown100,93703916.700000,93902417.000000,0,79,0,0,yes,1.000000
2000917,ForestOpenLowAltPlains1000m100,155153306.360000,155677764.000000,0,170,0,0,yes,1.000000
2000915,ForestMediumCrownLowAltUplands1000m100,3269326579.060000,3269386740.000000,0,2164,0,0,yes,1.000000
2000914,ForestLargeCrownLowAltUplands1000m100,118445695.620000,118481081.000000,0,102,0,0,yes,1.000000
2000913,ForestLargecrownLowAltPlains1000m100,181585292.600000,181994600.000000,0,185,0,0,yes,1.000000
2000911,Cultivatedland100,0.000000,1755582.000000,0,6,0,0,,1.000000
2000905,RiverinesuccessionswithEucalyptusdeglupta90,1508090.060000,2110503.000000,0,5,0,0,yes,1.000000
2000904,Oilpalm90,0.000000,0.000000,0,0,0,0,,1.000000
2000896,ForestSmallCrownLowAltUplands1000m90,19617706.240000,20811376.000000,0,19,0,0,yes,1.000000
2000894,ForestOpenLowAltPlains1000m90,49221104.020000,49545559.000000,0,30,0,0,yes,1.000000
2000892,ForestMediumCrownLowAltUplands1000m90,668708594.220000,668898470.000000,0,533,0,0,yes,1.000000
2000891,ForestLargeCrownLowAltUplands1000m90,34750403.800000,35080202.000000,0,33,0,0,yes,1.000000
2000890,ForestLargecrownLowAltPlains1000m90,27062255.460000,27250760.000000,0,34,0,0,yes,1.000000
2000879,RiverinesuccessionswithEucalyptusdeglupta80,1723513.720000,2036544.000000,0,7,0,0,yes,1.000000
2000877,Oilpalm80,0.000000,0.000000,0,0,0,0,,1.000000
2000866,ForestSmallCrownLowAltUplands1000m80,3115334.660000,3217612.000000,0,2,0,0,yes,1.000000
2000863,ForestOpenLowAltPlains1000m80,46636626.660000,46733851.000000,0,58,0,0,yes,1.000000
2000861,ForestMediumCrownLowAltUplands1000m80,365187871.160000,365195197.000000,0,329,0,0,yes,1.000000
2000860,ForestLargeCrownLowAltUplands1000m80,10760328.840000,11157931.000000,0,14,0,0,yes,1.000000
2000859,ForestLargecrownLowAltPlains1000m80,32893028.000000,33028463.000000,0,28,0,0,yes,1.000000
2000857,Cultivatedland80,0.000000,0.000000,0,0,0,0,,1.000000
2000851,Volcanicsuccessionsdominatedbywoodland50,90508.680000,156853.000000,0,2,0,0,yes,1.000000
2000850,Volcanicsuccessionsdominatedbyscrub50,933537.660000,1021245.000000,0,14,0,0,yes,1.000000
2000849,Volcanicsuccessionsdominatedbygrass50,299823.900000,343957.000000,0,5,0,0,yes,1.000000
2000848,Urban50,0.000000,20324.000000,0,1,0,0,,1.000000
2000847,TimberPlantation50,0.000000,18660.000000,0,2,0,0,,1.000000
2000844,Swampwoodland50,356892.900000,359693.000000,0,14,0,0,yes,1.000000
2000843,Swampgrassland50,67046.640000,135602.000000,0,4,0,0,yes,1.000000
2000840,SwampforestwithCampnosperma50,21054.160000,40998.000000,0,4,0,0,yes,1.000000
2000838,Swamp50,111377.200000,129556.000000,0,7,0,0,yes,1.000000
2000836,SeralForestVolcanicsuccessions50,52423.580000,57204.000000,0,5,0,0,yes,1.000000
2000830,RiverinesuccessionswithEucalyptusdeglupta50,532972.440000,540602.000000,0,23,0,0,yes,1.000000
2000824,Oilpalm50,0.000000,1635216.000000,0,29,0,0,,1.000000
2000823,Mixedforest50,2685.320000,6644.000000,0,2,0,0,yes,1.000000
2000821,Mangrove50,220383.240000,225310.000000,0,20,0,0,yes,1.000000
2000820,Landuse0450,0.000000,210618.000000,0,14,0,0,,1.000000
2000819,Lakesandlargerrivers50,128946.020000,313370.000000,0,13,0,0,yes,1.000000
2000818,Herbaceousswamp50,1615869.040000,1643992.000000,0,13,0,0,yes,1.000000
2000817,Grasslands50,188816.280000,229542.000000,0,3,0,0,yes,1.000000
2000816,Grasslandwithsomeforest50,2346094.180000,2420408.000000,0,11,0,0,yes,1.000000
2000815,Grasslandrevertingtoforest50,12411.360000,32316.000000,0,1,0,0,yes,1.000000
2000810,ForestVerySmallCrownLowMontane1000mNotho50,57206.700000,115334.000000,0,10,0,0,yes,1.000000
2000808,ForestVerySmallCrownLowMontane1000m50,299605.960000,671371.000000,0,14,0,0,yes,1.000000
2000807,ForestSmallCrownLowMontane1000mwNothofag50,9278.260000,10717.000000,0,1,0,0,yes,1.000000
2000805,ForestSmallCrownLowMontane1000m50,246787.640000,490743.000000,0,30,0,0,yes,1.000000
2000802,ForestSmallCrownLowAltUplands1000m50,111907.600000,253196.000000,0,9,0,0,yes,1.000000
2000801,ForestSmallCrownLowAltPlains1000m50,18446.360000,22659.000000,0,3,0,0,yes,1.000000
2000800,ForestSmallCrown50,14156.920000,15999.000000,0,2,0,0,yes,1.000000
2000799,ForestOpenLowAltPlains1000m50,4683025.700000,4695662.000000,0,67,0,0,yes,1.000000
2000797,ForestMediumCrownLowAltUplands1000m50,58983546.800000,59010859.000000,0,405,0,0,yes,1.000000
2000796,ForestLargeCrownLowAltUplands1000m50,16805275.540000,16996928.000000,0,29,0,0,yes,1.000000
2000795,ForestLargecrownLowAltPlains1000m50,1183658.320000,1184113.000000,0,66,0,0,yes,1.000000
2000793,Cultivatedland50,0.000000,54606.000000,0,4,0,0,,1.000000
2000792,Bare10,0.000000,0.000000,0,0,0,0,,1.000000
2000791,TimberPlantation40,0.000000,0.000000,0,0,0,0,,1.000000
2000784,ForestOpenLowAltPlains1000m40,0.000000,5008788.000000,0,7,0,0,,1.000000
2000782,ForestMediumCrownLowAltUplands1000m40,0.000000,8746620.000000,0,12,0,0,,1.000000
2000781,ForestLargecrownLowAltPlains1000m40,0.000000,0.000000,0,0,0,0,,1.000000
2000774,Oilpalm20,0.000000,1733825.000000,0,4,0,0,,1.000000
2000767,ForestLargeCrownLowAltUplands1000m20,0.000000,3824350.000000,0,8,0,0,,1.000000
2000766,ForestLargecrownLowAltPlains1000m20,0.000000,7754841.000000,0,10,0,0,,1.000000
2000764,Bare10,0.000000,0.000000,0,0,0,0,,1.000000
2000763,Oilpalm10,0.000000,0.000000,0,0,0,0,,1.000000
2000762,ForestMediumCrownLowAltUplands1000m10,0.000000,434223.000000,0,1,0,0,,1.000000
2000760,Volcanicsuccessionsdominatedbywoodland0,0.000000,148846.000000,0,2,0,0,,1.000000
2000759,Volcanicsuccessionsdominatedbyscrub0,0.000000,1797764.000000,0,15,0,0,,1.000000
2000758,Volcanicsuccessionsdominatedbygrass0,0.000000,1435154.000000,0,5,0,0,,1.000000
2000757,Urban0,0.000000,207135.000000,0,1,0,0,,1.000000
2000756,TimberPlantation0,0.000000,8346.000000,0,1,0,0,,1.000000
2000753,Swampwoodland0,0.000000,611482.000000,0,23,0,0,,1.000000
2000752,Swampgrassland0,0.000000,39228.000000,0,2,0,0,,1.000000
2000749,SwampforestwithCampnosperma0,0.000000,6332.000000,0,2,0,0,,1.000000
2000747,Swamp0,0.000000,167739.000000,0,9,0,0,,1.000000
2000745,SeralForestVolcanicsuccessions0,0.000000,89315.000000,0,4,0,0,,1.000000
2000744,Scrub0,0.000000,8770.000000,0,2,0,0,,1.000000
2000739,RiverinesuccessionswithEucalyptusdeglupta0,0.000000,1336454.000000,0,34,0,0,,1.000000
2000736,Riverinesuccessionsdominatedbywoodland0,0.000000,16031.000000,0,1,0,0,,1.000000
2000733,Oilpalm0,0.000000,3884916.000000,0,29,0,0,,1.000000
2000732,Mixedforest0,0.000000,6338.000000,0,2,0,0,,1.000000
2000730,Mangrove0,0.000000,1062318.000000,0,58,0,0,,1.000000
2000729,Landuse040,0.000000,30724243.000000,0,60,0,0,,1.000000
2000728,Lakesandlargerrivers0,0.000000,8994978.000000,0,33,0,0,,1.000000
2000727,Herbaceousswamp0,0.000000,214942.000000,0,12,0,0,,1.000000
2000726,Grasslands0,0.000000,1640881.000000,0,3,0,0,,1.000000
2000725,Grasslandwithsomeforest0,0.000000,3085168.000000,0,12,0,0,,1.000000
2000724,Grasslandrevertingtoforest0,0.000000,65505.000000,0,1,0,0,,1.000000
2000722,ForestwithCasuarinaequisetifoliaLittoral0,0.000000,47157.000000,0,3,0,0,,1.000000
2000719,ForestVerySmallCrownLowMontane1000mNotho0,0.000000,128224.000000,0,12,0,0,,1.000000
2000717,ForestVerySmallCrownLowMontane1000m0,0.000000,1284520.000000,0,14,0,0,,1.000000
2000716,ForestSmallCrownLowMontane1000mwNothofag0,0.000000,16679.000000,0,1,0,0,,1.000000
2000714,ForestSmallCrownLowMontane1000m0,0.000000,475805.000000,0,22,0,0,,1.000000
2000711,ForestSmallCrownLowAltUplands1000m0,0.000000,387738.000000,0,11,0,0,,1.000000
2000710,ForestSmallCrownLowAltPlains1000m0,0.000000,8344.000000,0,1,0,0,,1.000000
2000709,ForestSmallCrown0,0.000000,16643.000000,0,2,0,0,,1.000000
2000708,ForestOpenLowAltPlains1000m0,0.000000,3534193.000000,0,103,0,0,,1.000000
2000706,ForestMediumCrownLowAltUplands1000m0,0.000000,10798870.000000,0,397,0,0,,1.000000
2000705,ForestLargeCrownLowAltUplands1000m0,0.000000,1348961.000000,0,22,0,0,,1.000000
2000704,ForestLargecrownLowAltPlains1000m0,0.000000,2060461.000000,0,79,0,0,,1.000000
2000702,Cultivatedland0,0.000000,7621.000000,0,1,0,0,,1.000000
2000701,Bare0,0.000000,0.000000,0,0,0,0,,1.000000
2000500,climref,869876525.200000,5368896712.000000,0,3044,0,0,yes,1.000000
2000404,Platymantisnakanaiorum,190757282.000000,191399919.000000,0,111,0,0,yes,1.000000
2000403,Platymantismamusiorum,68095335.500000,98295682.000000,0,60,0,0,yes,1.000000
2000345,WetlandswithBackswamps,47416356.310000,86756839.000000,0,77,0,0,yes,1.000000
2000344,UndifferentiatedWetlands,37769130.350000,48781300.000000,0,48,0,0,yes,1.000000
2000343,VolcanicRidgeswithSlope510,34800701.700000,84312285.000000,0,108,0,0,yes,1.000000
2000342,VolcanicRidgeswithSlope25,2442112.050000,8350501.000000,0,11,0,0,yes,1.000000
2000341,VolcanicRidgeswithSlope1020,198988393.370000,456509109.000000,0,430,0,0,yes,1.000000
2000340,VolcanicRidgeswithSlope20,88935264.040000,183055010.000000,0,184,0,0,yes,1.000000
2000339,LeveeplainRiverValleys,41061056.760000,61810861.000000,0,60,0,0,yes,1.000000
2000337,OtherRidgeswithSlope1020,8319525.110000,12199855.000000,0,18,0,0,yes,1.000000
2000336,OtherRidgeswithSlope20,2279594.430000,7004162.000000,0,10,0,0,yes,1.000000
2000335,LimestoneRidgeswithSlope510,26805359.450000,65596032.000000,0,62,0,0,yes,1.000000
2000334,LimestoneRidgeswithSlope25,8103754.820000,21234543.000000,0,20,0,0,yes,1.000000
2000333,LimestoneRidgeswithSlope1020,45701233.790000,80753264.000000,0,83,0,0,yes,1.000000
2000332,LimestoneRidgeswithSlope20,25241389.710000,93454001.000000,0,85,0,0,yes,1.000000
2000330,Lakes,9548452.730000,9543050.000000,0,13,0,0,yes,0.999434
2000329,random,22761.810000,93414.000000,0,1,0,0,yes,1.000000
2000328,VolcanicFoothillswithSlope510,414600029.680000,705157981.000000,0,649,0,0,yes,1.000000
2000327,VolcanicFoothillswithSlope25,232016911.370000,232305134.000000,0,257,0,0,yes,1.000000
2000326,VolcanicFoothillswithSlope1020,432875897.530000,809591811.000000,0,715,0,0,yes,1.000000
2000325,VolcanicFoothillswithSlope20,41010631.360000,57401576.000000,0,98,0,0,yes,1.000000
2000324,VolcanicFoothillswithSlope2,54279441.950000,54339967.000000,0,73,0,0,yes,1.000000
2000323,OtherFoothillswithSlope510,201559517.570000,431854613.000000,0,361,0,0,yes,1.000000
2000322,OtherFoothillswithSlope25,159879910.710000,307385268.000000,0,256,0,0,yes,1.000000
2000321,OtherFoothillswithSlope1020,44356842.170000,80570528.000000,0,85,0,0,yes,1.000000
2000320,OtherFoothillswithSlope20,3840559.760000,3841372.000000,0,6,0,0,yes,1.000000
2000319,OtherFoothillswithSlope2,7471601.490000,7784016.000000,0,13,0,0,yes,1.000000
2000318,LimestoneFoothillswithSlope510,179485585.540000,370303382.000000,0,323,0,0,yes,1.000000
2000317,LimestoneFoothillswithSlope25,282113935.460000,676702449.000000,0,506,0,0,yes,1.000000
2000316,LimestoneFoothillswithSlope1020,44122233.840000,76380161.000000,0,102,0,0,yes,1.000000
2000315,LimestoneFoothillswithSlope20,5362734.490000,14259384.000000,0,20,0,0,yes,1.000000
2000314,LimestoneFoothillswithSlope20,44322253.970000,118164019.000000,0,128,0,0,yes,1.000000
2000313,AcidIgneousFoothillswithSlope510,2906208.820000,7937534.000000,0,10,0,0,yes,1.000000
2000312,AcidIgneousFoothillswithSlope25,605478.800000,2884545.000000,0,5,0,0,yes,1.000000
2000311,AcidIgneousFoothillswithSlope1020,8125188.250000,15284585.000000,0,16,0,0,yes,1.000000
2000309,CoastalplainswithNofloodingorinundation,216591750.910000,434273640.000000,0,323,0,0,yes,1.000000
2000307,MangrovesFlats,28298357.930000,44058311.000000,0,76,0,0,yes,1.000000
2000306,CoastalCoralFlats,1147215.250000,6552022.000000,0,8,0,0,yes,1.000000
2000305,CoastalBeachSandFlats,263532942.770000,263918114.000000,0,171,0,0,yes,1.000000
2000304,UndifferentiatedAlluvialPlains,15087338.500000,35093785.000000,0,32,0,0,yes,1.000000
2000302,CompositeAlluvialPlains,185603918.010000,275527041.000000,0,212,0,0,yes,1.000000
2000113,Dolphins,4504105.500000,4517404.000000,0,4,0,0,yes,1.000000
2000111,Crocodilebreedinggrounds,18029155.500000,23595843.000000,0,40,0,0,yes,1.000000
2000110,Dugonghabitat,35196050.000000,35197137.000000,0,58,0,0,yes,1.000000
2000109,CusCushabitat,3140763.500000,3804884.000000,0,9,0,0,yes,1.000000
2000108,Cassowaryhabitat,6252794.000000,6289229.000000,0,14,0,0,yes,1.000000
2000107,BirdSanctuary,932480.500000,971718.000000,0,5,0,0,yes,1.000000
2000106,Turtlenestingbeachmarine,2566253.500000,2611846.000000,0,8,0,0,yes,1.000000
2000104,Sagopalmareaswamp,6894890.400000,6936396.000000,0,23,0,0,yes,1.000000
2000103,PandanusMarita,235557.300000,685653.000000,0,1,0,0,yes,1.000000
2000102,PandanusKaruka,262935.900000,315201.000000,0,1,0,0,yes,1.000000
2000101,Churchland,0.000000,2391867.000000,0,9,0,0,,1.000000
2000098,Caves,3565105.200000,3629528.000000,0,15,0,0,yes,1.000000
2000096,Volcano,0.000000,11457476.000000,0,17,0,0,,1.000000
2000095,Waterfall,471114.900000,785191.000000,0,3,0,0,yes,1.000000
2000093,Hotspring,2671026.900000,3100679.000000,0,9,0,0,yes,1.000000
2000092,Freshwaterlake,2723975.800000,2731014.000000,0,7,0,0,yes,1.000000
2000090,Villagesmissingnameslocation,0.000000,2667074.000000,0,12,0,0,,1.000000
2000089,MissionStations,0.000000,1944707.000000,0,7,0,0,,1.000000
2000088,Clams,0.000000,34923802.000000,0,55,0,0,,1.000000
2000086,Bechedemerreef,0.000000,35535259.000000,0,58,0,0,,1.000000
2000085,Tuna,187973.500000,227543.000000,0,1,0,0,yes,1.000000
2000082,Miningsmallscalealluvial,0.000000,1047789.000000,0,1,0,0,,1.000000
2000080,Miningproposed,0.000000,73449427.000000,0,48,0,0,,1.000000
2000079,Miningcurrent,0.000000,0.000000,0,0,0,0,,1.000000
2000078,BiologicalResearchStaion,5571184.500000,5652746.000000,0,16,0,0,yes,1.000000
2000077,ResourceCentreproposed,0.000000,0.000000,0,0,0,0,,1.000000
2000076,ResourceCentreexisting,0.000000,23957.000000,0,1,0,0,,1.000000
2000075,Wharfproposed,0.000000,328138.000000,0,1,0,0,,1.000000
2000074,Wharfexisting,0.000000,0.000000,0,0,0,0,,1.000000
2000073,Jettiesproposed,0.000000,1075487.000000,0,3,0,0,,1.000000
2000072,Jettiesexisting,0.000000,0.000000,0,0,0,0,,1.000000
2000071,Fishmarket,0.000000,0.000000,0,0,0,0,,1.000000
2000070,Markets,0.000000,0.000000,0,0,0,0,,1.000000
2000068,Digicelltower,0.000000,3348968.000000,0,9,0,0,,1.000000
2000067,Roadsproposed,0.000000,0.000000,0,0,0,0,,1.000000
2000065,Reservoirwatersupply,0.000000,2018772.000000,0,6,0,0,,1.000000
2000064,Hydroelectricpowerproposed,0.000000,0.000000,0,0,0,0,,1.000000
2000063,Solarpowerplantproposed,0.000000,0.000000,0,0,0,0,,1.000000
2000062,Powerstationexisting,0.000000,1664983.000000,0,5,0,0,,1.000000
2000060,Reforestationproposed,148689891.600000,230137589.000000,0,156,0,0,yes,1.000000
2000057,LoggingexpiredTRPFMA,0.000000,125959559.000000,0,96,0,0,,1.000000
2000056,Loggingcurrent,0.000000,619672481.000000,0,368,0,0,,1.000000
2000055,Forestplanationreforestation,0.000000,0.000000,0,0,0,0,,1.000000
2000055,Forestplanationreforestation,96418091.100000,122781024.000000,0,83,0,0,yes,1.000000
2000053,Bambooforest,0.000000,0.000000,0,0,0,0,,1.000000
2000052,Balsawoodlots,0.000000,0.000000,0,0,0,0,,1.000000
