"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,40223619.588155,37646391.217548,3519,25770000.000001,237740000.000004,30210000.000001,25770000.000001,181759999.999999,0.127072,228.370607,59108.896089,1,0.999991
2,40176249.741544,37620900.516400,3475,25550000.000002,237740000.000004,29450000.000000,25550000.000002,182739999.999999,0.123875,349.225143,26308.121438,1,0.999985
3,40414857.686072,37849829.069439,3464,25650000.000001,237740000.000004,29820000.000001,25650000.000001,182269999.999999,0.125431,28.616633,7406.809473,1,0.999999
4,40067976.365926,37503605.025535,3470,25640000.000001,237740000.000004,29770000.000000,25640000.000001,182330000.000000,0.125221,371.340391,96113.597282,1,0.999986
5,40364721.731798,37746329.122386,3478,26180000.000001,237740000.000004,29310000.000000,26180000.000001,182249999.999999,0.123286,392.609411,55363.924660,3,0.999988
6,40313374.902241,37755259.464871,3466,25580000.000001,237740000.000004,29550000.000000,25580000.000001,182609999.999999,0.124295,115.437370,29878.518940,1,0.999996
7,40313345.029283,37752916.335841,3498,25600000.000001,237740000.000004,29890000.000000,25600000.000001,182250000.000000,0.125726,428.693442,29050.162196,3,0.999986
8,40381417.424160,37815298.077246,3487,25660000.000001,237740000.000004,30150000.000000,25660000.000001,181929999.999999,0.126819,119.346914,21079.897843,2,0.999997
9,40206907.562442,37629669.199103,3479,25770000.000000,237740000.000004,29990000.000001,25770000.000000,181979999.999999,0.126146,238.363338,61695.303013,1,0.999991
10,40448135.611069,37876728.930592,3483,25710000.000000,237740000.000004,30150000.000001,25710000.000000,181879999.999999,0.126819,406.680477,69516.588421,4,0.999990
