id,cost,status
137285,28040.890625,0
139067,674.558532,0
142625,180.277061,0
147079,288.553298,0
148860,136.437789,0
150634,162284.53125,0
155983,40835.675781,0
156874,8070.628906,0
157760,1454.21875,0
157765,1114.365173,0
157772,1541.243041,0
158655,209.739013,0
158660,1881.273437,0
158661,2453.821044,0
158662,3479.096435,0
158663,2572.729736,0
159549,234.987777,0
159553,682.996826,0
160441,366.392272,0
160443,814.830261,0
161330,294.406051,0
161336,415.281951,0
162211,1781.100463,0
162227,314.157394,0
163102,260.647949,0
163106,198.938499,0
164883,1306.664062,0
164884,7005.657714,0
164896,783.032592,0
165774,21740.060546,0
165775,2305.911376,0
169340,534.890167,0
169348,370.175689,0
169350,1252.962646,0
170231,2568.70874,0
170234,1476.321289,0
170239,126.547506,0
171125,4359.500488,0
172016,11254.625,0
172017,2400.430419,0
172907,4641.813476,0
172908,2576.981933,0
173798,9311.454101,0
173799,2537.363769,0
173800,421.222564,0
174690,485.388153,0
174691,741.947082,0
175581,101.985393,0
176469,2262.248779,0
176472,2260.404052,0
177360,5787.987304,0
177361,1498.897827,0
177362,1197.788085,0
177366,2298.088378,0
180925,262.621154,0
181808,4559.88623,0
181813,702.480773,0
181815,3829.037597,0
181816,2186.217773,0
182704,4148.133544,0
182705,3053.193847,0
184476,6478.291015,0
184481,6851.767089,0
185368,10565.658203,0
186264,3035.203613,0
187143,448.576782,0
188046,2293.459228,0
188923,993.80603,0
188935,875.167602,0
188937,4768.103027,0
189825,792.594299,0
189920,109.449753,0
190714,1807.700317,0
190715,1942.850708,0
190716,1085.674865,0
191605,603.267303,0
191606,675.677429,0
192495,390.038024,0
192497,184.87387,0
195198,605.890106,0
196056,15983.572265,0
196057,14346.235351,0
196058,8751.90625,0
196089,889.305603,0
196943,5633.411132,0
196944,5765.006835,0
196945,5045.632324,0
196946,2650.13623,0
196947,4981.526855,0
196948,1211.253051,0
197072,189.13314,0
197834,1710.03247,0
197835,1015.632385,0
198728,1812.581054,0
198729,2364.382812,0
199694,5046.870605,0
199744,120.621929,0
200500,2708.198486,0
203259,113223.46875,0
204061,8385.954101,0
204150,38460.375,0
204203,2076.085571,0
204951,42588.714843,0
204952,21749.599609,0
205841,23485.863281,0
205842,63727.128906,0
205898,274675.28125,0
205899,521233.09375,0
205932,17957.109375,0
205934,116.26395,0
206732,125936.0625,0
206789,294415.0625,0
206790,559255.9375,0
206823,28035.642578,0
206825,149.455421,0
207623,67359.75,0
207624,3116.056396,0
207679,13545.625,0
207680,436323.5625,0
207681,570411.4375,0
207714,4200.171875,0
208513,53114.515625,0
208514,14760.792968,0
208570,69198.882812,0
208571,621804.1875,0
208604,20449.203125,0
209404,90785.046875,0
209460,127.209669,0
209461,316007.75,0
209462,593892.9375,0
209496,108.128764,0
209498,3386.207519,0
210294,220.298469,0
210295,82170.4375,0
210351,284431.875,0
210352,602963.625,0
210386,10891.783203,0
210389,135.014289,0
211185,133701.078125,0
211241,17740.873046,0
211242,580382.5625,0
211243,630724,0
211282,577.154052,0
212076,143500,0
212132,115141.164062,0
212133,615509,0
212134,492577.90625,0
212173,4218.452636,0
212966,1342.810668,0
212967,108452.734375,0
213023,202530.984375,0
213024,600863.625,0
213025,676666.875,0
213063,110.634247,0
213064,197.576408,0
213857,79076.734375,0
213858,135751.796875,0
213948,23487.029296,0
213949,114.115054,0
213954,1491.853027,0
214748,118051.117187,0
214749,56839.667968,0
214806,19806.480468,0
214845,198.845649,0
215639,144225.734375,0
215640,9009.123046,0
215697,83988.367187,0
215728,22882.748046,0
215729,3201.499267,0
216530,149997.390625,0
216588,26200.132812,0
216589,59133.472656,0
216619,3376.657714,0
217508,5344.793945,0
217509,159.777046,0
217510,22505.060546,0
217511,1541.848754,2
218316,20316.880859,0
218369,104.031633,0
218370,19850.072265,0
218398,1580.505371,0
218399,368.077606,0
218401,6960.099121,0
219261,1412.031127,0
219262,68242.726562,0
219289,102.863297,0
219290,4567.044921,2
220153,6334.680664,0
220179,11515.485351,2
220180,12626.518554,2
221067,32844.246093,0
221068,233.025741,0
221070,7673.234863,2
221074,103.436849,0
221877,4522.798339,0
221931,282.171615,0
221932,1330.170654,2
221958,23648.417968,0
221969,101.964387,0
222849,231.70964,0
222856,106.067721,0
222857,102.946581,0
222858,100.982193,0
222860,148.147098,0
225491,2140.388916,0
226377,7485.875976,0
226378,18369.279296,0
226379,5997.863769,0
226380,590.304595,0
226382,118.048135,0
226383,673.346984,0
227268,2853.685302,0
227269,3422.136962,0
227270,965.872924,0
227271,2138.397705,0
55572,107.922251,0
57654,100.090475,0
58544,270.022933,0
58545,177.392456,0
59142,100.251779,0
59434,265.929946,0
59435,139.940639,0
59436,234.559341,0
59438,100.890381,0
59439,9240.512695,0
59443,101.627772,0
60237,100.031464,0
60329,103.886988,0
60926,100.875416,0
61129,100.044031,0
61130,107.683824,0
61131,104.223345,0
61209,100.212862,0
61210,101.112102,0
61816,100.194432,0
61817,100.051589,0
62020,52470.773437,0
62021,154166.546875,0
62022,51292.207031,0
62090,118.913736,0
62093,223.533653,0
62094,189.029541,0
62708,100.674104,0
62976,2269.262939,0
62984,102.321807,0
63597,100.212044,0
63869,100.846448,0
63870,130.042224,0
66220,1529.807373,0
66223,108.32804,0
68055,100.003641,0
68351,101.882446,0
68472,450.605194,0
68894,112.809393,0
68895,118.321537,0
68896,128.032354,0
68897,100.785356,0
69226,101.169943,0
69242,378.680267,0
70117,730.01477,0
70933,104.637594,0
70935,100.113417,0
70936,102.70829,0
71141,100.503542,0
71142,113.446029,0
71824,100.540663,0
71894,136.227252,0
71895,174.652236,0
71896,106.002494,0
72700,103.539302,0
72704,100.22747,0
72711,104.782977,0
72712,100.167444,0
72713,113.169393,0
72714,102.389338,0
72766,266.837997,0
72767,109.943793,0
72783,362.432525,0
