"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,71002646.434665,47632646.434665,3583,7790000.000000,237740000.000004,40909999.999999,7790000.000000,189039999.999999,0.172079,0.000000,0.000000,0,1.000000
2,71597116.568482,47926961.837462,3662,7890000.000000,237740000.000004,41459999.999999,7890000.000000,188390000.000000,0.174392,154.731020,5017.383589,1,0.999997
3,70700993.924827,48170680.135912,3644,7510000.000000,237740000.000004,42209999.999999,7510000.000000,188019999.999999,0.177547,313.788915,18286.358871,2,0.999997
4,70903453.060538,47563453.060538,3644,7780000.000000,237740000.000004,41989999.999999,7780000.000000,187969999.999999,0.176622,0.000000,0.000000,0,1.000000
5,71442544.281252,48342419.752250,3620,7700000.000000,237740000.000004,40890000.000000,7700000.000000,189150000.000000,0.171995,124.529002,12252.989019,1,0.999998
6,71266274.293688,48106274.293688,3576,7720000.000000,237740000.000004,41339999.999998,7720000.000000,188680000.000000,0.173887,0.000000,0.000000,0,1.000000
7,71642272.137464,47942272.137464,3674,7900000.000000,237740000.000004,42139999.999999,7900000.000000,187700000.000000,0.177252,0.000000,0.000000,0,1.000000
8,71572660.567530,48021616.490943,3641,7850000.000000,237740000.000004,41660000.000000,7850000.000000,188229999.999998,0.175233,1044.076587,33855.737088,1,0.999981
9,71235832.057147,48045832.057147,3664,7730000.000000,237740000.000004,42750000.000000,7730000.000000,187259999.999998,0.179818,0.000000,0.000000,0,1.000000
10,71064793.635576,47544727.014490,3522,7840000.000000,237740000.000004,40240000.000000,7840000.000000,189659999.999999,0.169261,66.621086,6555.159174,1,0.999999
