"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,568869294576.660160,17222922184.000000,851,11018723.527055,275577496.942233,40743397.826100,11018723.527055,223815375.589073,0.147847,710196039.910141,64.364000,0,0.980640
2,560702964370.437740,15142438341.000000,880,10900410.163606,275577496.942233,42696228.437300,10900410.163606,221980858.341322,0.154934,540017849.137805,50.734000,0,0.990965
3,612363964760.102420,15271135503.000000,1131,11903743.600283,275577496.942233,55857307.656999,11903743.600283,207816445.684943,0.202692,1905649242.952416,182.800000,0,0.976539
4,556371654283.000000,13894705189.000000,983,10812347.444162,275577496.942233,48089091.228099,10812347.444162,216676058.269965,0.174503,1859576885.899812,178.470000,0,0.976539
5,563645774802.950070,18076345071.000000,844,10911388.594639,275577496.942233,40668028.201100,10911388.594639,223998080.146489,0.147574,0.000000,0.000000,0,1.000000
6,602883513473.957400,11107382829.000000,868,11810122.586654,275577496.942233,41421538.696799,11810122.586654,222345835.658774,0.150308,1270001312.257460,126.106000,0,0.976539
7,639682960823.280150,13847153746.000000,933,12506337.808476,275577496.942233,44770398.295299,12506337.808476,218300760.838451,0.162460,518916653.480138,51.516000,0,0.989408
8,554774778031.966190,12952082705.000000,946,10797411.760458,275577496.942233,46235148.673499,10797411.760458,218544936.508270,0.167775,1952107304.066138,188.412000,0,0.976539
9,571146675541.790650,16703381635.000000,852,11079834.796178,275577496.942233,40826010.672100,11079834.796178,223671651.473950,0.148147,451554097.890506,44.630000,0,0.994676
10,550971387763.499150,15959265327.000000,906,10695861.048912,275577496.942233,44328330.796099,10695861.048912,220553305.097216,0.160856,219069990.899050,23.278000,0,0.997944
