"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,37426069.517973,37187755.581329,3465,39670000.000003,237740000.000004,22820000.000000,39670000.000002,175249999.999998,0.095987,293.936644,61147.736098,4,0.999992
2,37457431.333496,37215197.873490,3467,40340000.000002,237740000.000004,22500000.000001,40340000.000001,174899999.999997,0.094641,193.460006,46653.634853,2,0.999993
3,37519899.163030,37280079.163030,3465,39970000.000003,237740000.000004,22900000.000000,39970000.000002,174869999.999997,0.096324,0.000000,0.000000,0,1.000000
4,37664706.349853,37423213.643924,3462,40220000.000002,237740000.000004,22520000.000001,40220000.000001,174999999.999997,0.094725,172.705929,44028.074482,3,0.999994
5,37562902.986577,37321406.510490,3467,40220000.000002,237740000.000004,22550000.000001,40220000.000001,174969999.999998,0.094852,176.476087,23945.163710,3,0.999993
6,37578845.364739,37337865.678024,3462,40160000.000002,237740000.000004,22410000.000001,40160000.000001,175169999.999997,0.094263,19.686715,972.386944,2,0.999999
7,37492180.613792,37254691.738929,3466,39570000.000002,237740000.000004,22910000.000001,39570000.000001,175259999.999997,0.096366,68.874862,19426.064556,1,0.999997
8,37427701.920386,37186501.920386,3464,40200000.000002,237740000.000004,22660000.000001,40200000.000001,174879999.999998,0.095314,0.000000,0.000000,0,1.000000
9,37755792.542298,37512565.381285,3466,40530000.000002,237740000.000004,22540000.000001,40530000.000001,174669999.999997,0.094809,47.161013,8750.907509,2,0.999999
10,37475721.924529,37238383.292152,3463,39550000.000002,237740000.000004,22620000.000001,39550000.000001,175569999.999997,0.095146,38.632377,9997.092996,2,0.999999
