spname,spindex,totalarea,reservedarea,excludedarea,targetarea,totalocc,reservedocc,excludedocc,targetocc
2000739,103,2.74752e+006,0,0,0,87,0,0,0
2000736,104,32672,0,0,0,4,0,0,0
2000733,105,2.56575e+008,0,0,0,505,0,0,0
2000732,106,6338,0,0,0,2,0,0,0
2000730,107,3.46526e+006,0,0,0,207,0,0,0
2000729,108,8.61594e+008,0,0,0,1167,0,0,0
2000728,109,5.75235e+007,0,0,0,90,0,0,0
2000727,110,1.06406e+006,0,0,0,31,0,0,0
2000726,111,3.86608e+006,0,0,0,7,0,0,0
2000725,112,1.13699e+007,0,0,0,44,0,0,0
2000724,113,76934,0,0,0,3,0,0,0
2000722,114,47157,0,0,0,3,0,0,0
2000719,115,275422,0,0,0,16,0,0,0
2000717,116,1.58671e+006,0,0,0,26,0,0,0
2000716,117,25019,0,0,0,2,0,0,0
2000714,118,703366,0,0,0,40,0,0,0
2000711,119,473346,0,0,0,22,0,0,0
2000710,120,16262,0,0,0,2,0,0,0
2000709,121,41636,0,0,0,5,0,0,0
2000708,122,1.17035e+007,0,0,0,403,0,0,0
2000706,123,3.54682e+007,0,0,0,1500,0,0,0
2000705,124,4.43278e+006,0,0,0,117,0,0,0
2000704,125,6.62027e+006,0,0,0,265,0,0,0
2000702,126,8.36319e+006,0,0,0,57,0,0,0
2000701,127,710348,0,0,0,2,0,0,0
2000500,128,1.73975e+010,0,0,0,10158,0,0,0
2000404,129,3.81515e+008,0,0,0,228,0,0,0
2000403,130,1.36191e+008,0,0,0,85,0,0,0
2000345,131,2.7892e+008,0,0,0,214,0,0,0
2000344,132,2.22171e+008,0,0,0,205,0,0,0
2000343,133,2.0471e+008,0,0,0,237,0,0,0
2000342,134,1.43654e+007,0,0,0,20,0,0,0
2000341,135,1.17052e+009,0,0,0,1059,0,0,0
2000340,136,5.23149e+008,0,0,0,535,0,0,0
2000339,137,2.41536e+008,0,0,0,217,0,0,0
2000337,138,4.89384e+007,0,0,0,50,0,0,0
2000336,139,1.34094e+007,0,0,0,17,0,0,0
2000335,140,1.57679e+008,0,0,0,145,0,0,0
2000334,141,4.76691e+007,0,0,0,50,0,0,0
2000333,142,2.68831e+008,0,0,0,248,0,0,0
2000332,143,1.48479e+008,0,0,0,146,0,0,0
2000330,144,5.61674e+007,0,0,0,54,0,0,0
2000329,145,133893,0,0,0,5,0,0,0
2000328,146,2.43882e+009,0,0,0,2288,0,0,0
2000327,147,1.36481e+009,0,0,0,1369,0,0,0
2000326,148,2.54633e+009,0,0,0,2270,0,0,0
2000325,149,2.41239e+008,0,0,0,347,0,0,0
2000324,150,3.19291e+008,0,0,0,423,0,0,0
2000323,151,1.18564e+009,0,0,0,981,0,0,0
2000322,152,9.4047e+008,0,0,0,782,0,0,0
2000321,153,2.60923e+008,0,0,0,253,0,0,0
2000320,154,2.25915e+007,0,0,0,30,0,0,0
2000319,155,4.39506e+007,0,0,0,71,0,0,0
2000318,156,1.0558e+009,0,0,0,935,0,0,0
2000317,157,1.65949e+009,0,0,0,1279,0,0,0
2000316,158,2.59543e+008,0,0,0,293,0,0,0
2000315,159,3.15455e+007,0,0,0,39,0,0,0
2000314,160,2.60719e+008,0,0,0,303,0,0,0
2000313,161,1.70953e+007,0,0,0,21,0,0,0
2000312,162,3.56164e+006,0,0,0,7,0,0,0
2000311,163,4.77952e+007,0,0,0,50,0,0,0
2000309,164,1.27407e+009,0,0,0,906,0,0,0
2000307,165,1.66461e+008,0,0,0,284,0,0,0
2000306,166,6.74833e+006,0,0,0,10,0,0,0
2000305,167,1.55019e+009,0,0,0,1066,0,0,0
2000304,168,8.87491e+007,0,0,0,86,0,0,0
2000302,169,1.09179e+009,0,0,0,896,0,0,0
2000113,170,9.00821e+006,0,0,0,12,0,0,0
2000111,171,3.60583e+007,0,0,0,84,0,0,0
2000110,172,7.03921e+007,0,0,0,163,0,0,0
2000109,173,6.28153e+006,0,0,0,23,0,0,0
2000108,174,1.25056e+007,0,0,0,32,0,0,0
2000107,175,1.86496e+006,0,0,0,8,0,0,0
2000106,176,5.13251e+006,0,0,0,26,0,0,0
2000104,177,2.2983e+007,0,0,0,71,0,0,0
2000103,178,785191,0,0,0,3,0,0,0
2000102,179,876453,0,0,0,4,0,0,0
2000101,180,1.67937e+007,0,0,0,58,0,0,0
2000098,181,1.18837e+007,0,0,0,42,0,0,0
2000096,182,3.18443e+007,0,0,0,51,0,0,0
2000095,183,1.57038e+006,0,0,0,6,0,0,0
2000093,184,8.90342e+006,0,0,0,31,0,0,0
2000092,185,3.89139e+006,0,0,0,16,0,0,0
2000090,186,2.40945e+007,0,0,0,78,0,0,0
2000089,187,1.55197e+007,0,0,0,55,0,0,0
2000088,188,6.69188e+007,0,0,0,132,0,0,0
2000086,189,6.94322e+007,0,0,0,161,0,0,0
2000085,190,375947,0,0,0,2,0,0,0
2000082,191,6.19288e+006,0,0,0,10,0,0,0
2000080,192,2.15299e+008,0,0,0,155,0,0,0
2000079,193,785191,0,0,0,3,0,0,0
