"new_cost","area","perimeter","solution","scenario","best_solution","per_circle","fragmentation"
39746194.7215447,354399999975.451,69939999.9994199,"r00001",10,"NO",2110336.87960487,33.1416280857089
39780817.5118482,359499999976.83,70999999.9997546,"r00002",10,"NO",2125467.0629231,33.4044226035241
39612955.3767872,352399999977.588,71079999.9995151,"r00003",10,"NO",2104373.77958825,33.7772693658172
39771386.9961098,353299999974.495,70259999.9993883,"r00004",10,"NO",2107059.2629854,33.3450516716079
39783581.928117,351499999977.939,70299999.9993254,"r00005",10,"NO",2101684.8647383,33.4493535062305
39771481.8282914,357399999973.985,70559999.9993801,"r00006",10,"NO",2119250.06953994,33.294796595051
39851083.3222421,351799999977.836,70199999.9996583,"r00007",10,"NO",2102581.55177226,33.3875277943379
39590461.6934124,349999999976.476,69539999.9993599,"r00008",10,"YES",2097195.67869336,33.1585653670077
39564194.6016105,356299999973.981,71399999.9991083,"r00009",10,"NO",2115986.25930539,33.743130270868
39650923.859826,348599999977.377,69839999.9993922,"r00010",10,"NO",2092997.08453722,33.3684172402153
