"new_cost","area","perimeter","solution","scenario","best_solution","per_circle","fragmentation"
36873557.354306,346499999992.125,99039999.9991033,"r00001",3,"NO",2086683.3535006,47.462879230313
36659027.1011624,346399999991.263,99299999.9991444,"r00002",3,"NO",2086382.22306082,47.5943472397241
36807693.5314953,347399999992.437,100459999.998893,"r00003",3,"NO",2089391.5744382,48.0809826305079
36718873.0894349,346399999992.127,98939999.998995,"r00004",3,"NO",2086382.22306343,47.4217997571518
36921117.8125634,346399999992.258,98919999.9989731,"r00005",3,"NO",2086382.22306382,47.4122137858856
36940839.5368723,346399999991.364,99579999.9990471,"r00006",3,"NO",2086382.22306113,47.7285508371251
36967451.1415096,346299999991.815,99059999.9990293,"r00007",3,"NO",2086081.04915646,47.486170318783
36642784.9316942,346399999992.025,99439999.9992455,"r00008",3,"YES",2086382.22306312,47.6614490384474
36906962.5469929,346299999991.93,99659999.9992046,"r00009",3,"NO",2086081.04915681,47.7737909749418
36925609.124679,346399999991.542,98739999.9990063,"r00010",3,"NO",2086382.22306166,47.3259400447298
