"new_cost","area","perimeter","solution","scenario","best_solution","per_circle","fragmentation"
47274352.7155231,358299999970.709,63979999.9997254,"r00001",12,"NO",2121916.72568855,30.1519843946582
47560769.8736271,366199999970.005,66519999.9999253,"r00002",12,"NO",2145181.79150425,31.009026956769
47806284.5433781,364399999972.938,64019999.9996536,"r00003",12,"YES",2139903.14068941,29.917241945366
47199057.0708801,364399999969.863,64419999.9997875,"r00004",12,"NO",2139903.14068038,30.1041662938562
47980423.5584781,361999999968.66,65679999.9994614,"r00005",12,"NO",2132844.61740751,30.7945545884612
47748679.2277928,357599999972.247,62899999.9999171,"r00006",12,"NO",2119842.94968898,29.672009433126
47574876.7364775,367399999967.042,66079999.9999875,"r00007",12,"NO",2148693.6876394,30.7535691942133
47657523.4627816,364099999966.006,65419999.9999197,"r00008",12,"NO",2139022.09905859,30.5840692476772
47679433.7285041,366399999966.049,63599999.9998392,"r00009",12,"NO",2145767.50666855,29.6397441951121
47192532.954715,352199999970.712,62819999.9995755,"r00010",12,"NO",2103776.53994174,29.8605858592354
