"","new_cost","area","perimeter","solution","scenario","best_solution","per_circle","fragmentation"
"1",36881075.4050808,347199999992.769,102439999.999255,"r00001","1","NO",2088790.0510139,49.0427460383251
"2",36926517.3370551,346399999991.796,101919999.999158,"r00002","1","NO",2086382.22306243,48.8501094730177
"3",36616211.4535233,346399999992.224,101919999.998932,"r00003","1","YES",2086382.22306372,48.8501094728795
"4",36802860.1985339,346499999993.843,103099999.998679,"r00004","1","NO",2086683.35350577,49.4085505716353
"5",36842158.1177518,346199999993.374,102759999.999095,"r00005","1","NO",2085779.83176746,49.2669448778868
"6",36826802.298051,346499999992.576,102579999.998944,"r00006","1","NO",2086683.35350195,49.1593512867153
"7",36920368.15805,346499999992.364,102839999.998906,"r00007","1","NO",2086683.35350131,49.2839509292808
"8",36722113.3118564,346399999991.483,102899999.999064,"r00008","1","NO",2086382.22306148,49.3198220640859
"9",36858076.4880817,346699999992.615,102679999.998796,"r00009","1","NO",2087285.48404513,49.1930791373126
"10",36889112.834904,346299999993.61,103299999.998858,"r00010","1","NO",2086081.04916187,49.518689621557
"11",36920359.6197868,346399999992.944,102039999.998719,"r00001","2","NO",2086382.22306588,48.9076253002069
"12",36859620.1412036,346399999992.638,103259999.998832,"r00002","2","NO",2086382.22306496,49.4923695463334
"13",36685056.627591,346399999992.856,102559999.998572,"r00003","2","YES",2086382.22306562,49.1568605525579
"14",36997128.6476114,346499999993.038,102219999.998979,"r00004","2","NO",2086683.35350335,48.9868287046817
"15",36760124.6897211,346399999993.551,102499999.998882,"r00005","2","NO",2086382.22306772,49.1281026389169
"16",36938623.0089053,346299999992.008,102399999.998807,"r00006","2","NO",2086081.04915704,49.0872586375232
"17",36803666.4391228,346299999993.159,103239999.998986,"r00007","2","NO",2086081.04916051,49.4899275560423
"18",36798365.8362452,346299999992.396,102579999.998935,"r00008","2","NO",2086081.04915821,49.1735448343815
"19",36794896.5344102,346499999993.137,103619999.998858,"r00009","2","NO",2086683.35350364,49.6577498569082
"20",36928756.7896613,346399999992.134,102379999.998821,"r00010","2","NO",2086382.22306345,49.0705868115076
"21",36873557.354306,346499999992.125,99039999.9991033,"r00001","3","NO",2086683.3535006,47.462879230313
"22",36659027.1011624,346399999991.263,99299999.9991444,"r00002","3","NO",2086382.22306082,47.5943472397241
"23",36807693.5314953,347399999992.437,100459999.998893,"r00003","3","NO",2089391.5744382,48.0809826305079
"24",36718873.0894349,346399999992.127,98939999.998995,"r00004","3","NO",2086382.22306343,47.4217997571518
"25",36921117.8125634,346399999992.258,98919999.9989731,"r00005","3","NO",2086382.22306382,47.4122137858856
"26",36940839.5368723,346399999991.364,99579999.9990471,"r00006","3","NO",2086382.22306113,47.7285508371251
"27",36967451.1415096,346299999991.815,99059999.9990293,"r00007","3","NO",2086081.04915646,47.486170318783
"28",36642784.9316942,346399999992.025,99439999.9992455,"r00008","3","YES",2086382.22306312,47.6614490384474
"29",36906962.5469929,346299999991.93,99659999.9992046,"r00009","3","NO",2086081.04915681,47.7737909749418
