"new_cost","area","perimeter","solution","scenario","best_solution","per_circle","fragmentation"
36881075.4050808,347199999992.769,102439999.999255,"r00001",1,"NO",2088790.0510139,49.0427460383251
36926517.3370551,346399999991.796,101919999.999158,"r00002",1,"NO",2086382.22306243,48.8501094730177
36616211.4535233,346399999992.224,101919999.998932,"r00003",1,"YES",2086382.22306372,48.8501094728795
36802860.1985339,346499999993.843,103099999.998679,"r00004",1,"NO",2086683.35350577,49.4085505716353
36842158.1177518,346199999993.374,102759999.999095,"r00005",1,"NO",2085779.83176746,49.2669448778868
36826802.298051,346499999992.576,102579999.998944,"r00006",1,"NO",2086683.35350195,49.1593512867153
36920368.15805,346499999992.364,102839999.998906,"r00007",1,"NO",2086683.35350131,49.2839509292808
36722113.3118564,346399999991.483,102899999.999064,"r00008",1,"NO",2086382.22306148,49.3198220640859
36858076.4880817,346699999992.615,102679999.998796,"r00009",1,"NO",2087285.48404513,49.1930791373126
36889112.834904,346299999993.61,103299999.998858,"r00010",1,"NO",2086081.04916187,49.518689621557
