species,pu,amount
4670,2061,219262
4612,2064,7782
4670,2064,7782
4612,2065,25144
4670,2065,25144
4634,2067,9
4672,2067,9
2000729,2067,22367
2000305,2067,22371
4610,2067,37413
4670,2067,37413
2000038,2067,63100
2000797,2068,3939
4612,2068,8083
4670,2068,8083
2000938,2068,19026
2000729,2068,36923
2000068,2068,93355
4634,2068,106967
2000500,2068,140170
4625,2068,149258
2000861,2068,163905
2000305,2068,223794
4672,2068,256225
2000952,2069,849
2000305,2069,849
4624,2069,2850
4612,2069,12682
4670,2069,12682
4625,2069,52574
4672,2069,55424
2000820,2070,5943
4642,2070,62572
4643,2070,62670
4672,2070,125242
2000500,2070,248120
2000729,2070,717282
2000305,2070,723242
4643,2071,13
4672,2071,13
4612,2071,50301
4670,2071,50301
2000706,2072,600
2000500,2072,15297
2000861,2072,37981
2000305,2072,38582
2000797,2073,852
4642,2073,27909
4643,2073,38892
2000706,2073,55214
4672,2073,66801
2000500,2073,742469
2000861,2073,1070348
2000305,2073,1126414
4643,2075,194
2000820,2075,7793
4634,2075,133846
4672,2075,134040
2000729,2075,1280057
2000305,2075,1287867
2000500,2075,1403815
4637,2084,42240
4601,2084,64888
4670,2084,64888
2000110,2084,71880
4624,2084,78188
4625,2084,251332
4672,2084,371760
4619,2084,418049
4671,2084,418049
2000729,2084,422381
2000307,2084,422397
2000500,2084,444433
2000500,2085,6449
4601,2085,45419
4670,2085,45419
4637,2085,46841
2000938,2085,256746
2000307,2085,256769
4625,2085,395351
4622,2085,442058
4619,2085,574274
4671,2085,574274
2000110,2085,610155
4672,2085,884250
2000729,2086,7679
2000938,2086,8183
2000307,2086,15875
4624,2086,57451
4626,2086,228785
4625,2086,510132
4672,2086,796368
2000706,2148,5541
4643,2148,16023
4672,2148,16023
2000797,2148,21610
2000500,2148,1375066
2000892,2148,1627384
2000305,2148,1654538
4618,2149,963
4670,2149,963
2000795,2149,47458
2000704,2149,310054
2000859,2149,636059
2000302,2149,993574
2000500,2149,1264560
2000706,2150,4270
2000795,2150,43574
2000704,2150,60478
2000861,2150,449717
2000302,2150,475221
2000859,2150,568773
2000305,2150,651595
2000500,2150,982620
2000795,2151,5668
2000500,2151,42603
2000704,2151,61550
2000859,2151,152399
2000302,2151,219618
4618,2153,12569
4615,2153,18854
4616,2153,29628
2000729,2153,30977
2000305,2153,30977
4670,2153,61051
4618,2154,45989
4670,2154,45989
2000704,2156,275
2000795,2156,9021
2000859,2156,9043
2000305,2156,18339
2000110,2156,28453
2000500,2156,38313
2000797,2157,81
2000706,2157,1841
2000305,2157,1923
2000797,2158,12506
4612,2158,30532
4670,2158,30532
2000706,2158,80501
4634,2158,102404
4633,2158,114856
4672,2158,217260
2000861,2158,726592
2000305,2158,819599
2000500,2158,856089
2000730,2159,1544
2000744,2159,12170
4634,2159,14369
4672,2159,14369
2000938,2159,45668
2000952,2159,100879
2000305,2159,160263
4612,2160,12573
4610,2160,44664
4670,2160,57237
2000797,2160,59870
4634,2160,77249
4672,2160,77249
2000307,2160,166826
2000706,2160,185509
2000004,2160,238394
2000068,2160,360587
2000500,2160,1063259
2000861,2160,1131698
2000305,2160,1210251
2000500,2161,54
4612,2161,55169
4610,2161,56582
4608,2161,91785
4670,2161,203536
4608,2162,4891
4670,2162,4891
4642,2163,3938
4643,2163,185187
4672,2163,189125
2000729,2163,604878
2000305,2163,604910
2000708,2164,3694
2000706,2164,14100
2000863,2164,40257
2000500,2164,58000
2000861,2164,495592
2000305,2164,553644
2000704,2165,2152
2000706,2165,4477
2000938,2165,36173
2000339,2165,446719
2000861,2165,690609
2000913,2165,851125
2000305,2165,1137816
2000500,2165,1645210
2000706,2166,5051
2000797,2166,5839
4633,2166,7512
4643,2166,11746
4634,2166,50625
4642,2166,111331
4672,2166,181214
2000500,2166,723662
2000861,2166,802626
2000305,2166,813519
2000729,2168,1509
4634,2168,22279
2000797,2168,38378
4643,2168,41079
2000706,2168,61058
4672,2168,63358
2000861,2168,817080
2000305,2168,918034
2000500,2168,975744
2000820,2174,26905
2000500,2174,55114
4643,2174,63731
4672,2174,63731
2000729,2174,178166
2000305,2174,205071
2000820,2175,1864
2000500,2175,41637
4643,2175,138573
4672,2175,138573
2000729,2175,143730
2000307,2175,145594
2000938,2176,10353
2000500,2176,35695
2000110,2176,40725
4624,2176,53922
4637,2176,70201
4619,2176,145098
4671,2176,145098
4625,2176,268068
2000952,2176,368436
2000307,2176,378800
4672,2176,392191
2000938,2177,22213
2000307,2177,22218
2000110,2177,302436
4601,2177,576421
4670,2177,576421
4619,2177,1296785
4671,2177,1296785
4625,2178,970
2000730,2178,2763
2000035,2178,5427
2000820,2178,13899
4601,2178,40444
4670,2178,40444
4637,2178,46630
