"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,9012.471932,5153.741716,6755,3858728.524000,108283924.481035,15850793.423996,3858728.524000,88574402.533024,0.146382,0.001692,0.500000,0,1.000000
2,8981.387532,5084.004186,6973,3897333.294000,108283924.481035,16405299.238995,3897333.294000,87981291.948024,0.151503,0.050052,18.500000,0,0.999992
3,8987.395269,5090.966407,7046,3895578.634000,108283924.481035,16598323.343995,3895578.634000,87790022.503024,0.153285,0.850228,370.540000,0,0.999981
4,8979.935263,5138.704321,6887,3841180.890000,108283924.481035,16207010.730996,3841180.890000,88235732.860024,0.149671,0.050052,18.500000,0,0.999992
5,8959.222626,5047.801025,7123,3911371.550000,108283924.481035,16793102.247995,3911371.550000,87579450.683024,0.155084,0.050052,18.500000,0,0.999992
6,8890.395166,5085.913721,6864,3804330.830000,108283924.481035,16164896.368995,3804330.830000,88314697.282024,0.149283,0.150615,123.500000,0,0.999858
7,9156.188822,5314.957926,6923,3841180.844000,108283924.481035,16301768.057996,3841180.844000,88140975.579024,0.150547,0.050052,18.500000,0,0.999992
8,9002.312251,5047.021599,7275,3955240.600000,108283924.481035,17171254.192995,3955240.600000,87157429.688023,0.158576,0.050052,18.500000,0,0.999992
9,8999.541005,5166.049702,6913,3832407.054000,108283924.481035,16279833.492995,3832407.054000,88171683.934024,0.150344,1.084248,1231.300000,0,0.999813
10,8999.649383,5149.646287,6941,3849954.736000,108283924.481035,16344759.779996,3849954.736000,88089209.965024,0.150944,0.048359,18.000000,0,0.999992
11,9039.340767,5193.886950,6866,3844690.430000,108283924.481035,16149980.882996,3844690.430000,88289253.168024,0.149145,0.763387,494.000000,0,0.999323
12,8901.357925,5111.015174,6991,3790292.700000,108283924.481035,16506198.192995,3790292.700000,87987433.588024,0.152434,0.050052,18.500000,0,0.999992
13,8889.722879,5048.491936,6939,3841180.892000,108283924.481035,16343882.393995,3841180.892000,88098861.195024,0.150935,0.050052,18.500000,0,0.999992
