"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,37618385.318082,37232966.341723,3465,38540000.000003,237740000.000004,23230000.000001,38540000.000002,175969999.999997,0.097712,18.976359,1061.426661,2,0.999999
2,37549061.932991,37162463.199424,3465,38650000.000003,237740000.000004,23250000.000001,38650000.000002,175839999.999996,0.097796,98.733567,20183.052488,2,0.999997
3,37886062.827979,37499092.418022,3465,38680000.000001,237740000.000004,23230000.000001,38680000.000001,175829999.999998,0.097712,170.409957,19359.843337,4,0.999995
4,37837317.095759,37443290.873689,3464,39400000.000002,237740000.000004,23020000.000001,39400000.000001,175319999.999998,0.096828,26.222070,2084.193928,1,0.999999
5,37729023.749653,37341704.902374,3466,38730000.000002,237740000.000004,23200000.000001,38730000.000001,175809999.999998,0.097586,18.847279,5286.082153,1,0.999999
6,37752674.322386,37367230.247298,3474,38540000.000002,237740000.000004,23400000.000001,38540000.000001,175799999.999998,0.098427,44.075088,12361.706470,1,0.999998
7,37793685.500211,37408449.192549,3464,38520000.000002,237740000.000004,23300000.000001,38520000.000001,175919999.999998,0.098006,36.307662,2837.829178,2,0.999998
8,37657381.740237,37271727.040661,3466,38550000.000002,237740000.000004,23530000.000001,38550000.000001,175659999.999998,0.098974,154.699576,12569.361109,4,0.999996
9,37840705.154659,37451654.730566,3465,38900000.000003,237740000.000004,23110000.000000,38900000.000002,175729999.999998,0.097207,50.424093,1332.889651,1,0.999996
10,37928302.602468,37535804.298476,3467,39220000.000002,237740000.000004,22880000.000001,39220000.000001,175639999.999997,0.096240,298.303992,68298.517804,2,0.999990
