"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,19361842887.888771,4309863655.000000,899,15042408.092059,275577496.942233,41818882.483599,15042408.092059,218716206.366568,0.151750,9571140.829726,38.916000,0,0.988903
2,20344076326.305271,4220897685.000000,1001,16064774.296066,275577496.942233,46965079.436299,16064774.296066,212547643.209861,0.170424,58404345.239219,240.844000,1,0.941955
3,20533255264.367645,4325496985.000000,896,16205757.245002,275577496.942233,40899266.210199,16205757.245002,218472473.487025,0.148413,2001034.365588,6.808000,0,0.998981
4,21618305895.633801,3991164196.000000,837,17625038.344769,275577496.942233,37328894.473700,17625038.344769,220623564.123758,0.135457,2103354.864751,9.722000,0,0.998233
5,19021574580.722870,4330775212.000000,847,14633530.577262,275577496.942233,38958036.362600,14633530.577262,221985930.002365,0.141369,57268791.460824,158.174000,0,0.962206
6,19295329660.929043,4016794146.000000,852,15278535.514929,275577496.942233,39036800.758800,15278535.514929,221262160.668498,0.141655,0.000000,0.000000,0,1.000000
7,20003614356.444637,4284236006.000000,992,15714746.413859,275577496.942233,46194445.296099,15714746.413859,213668305.232267,0.167628,4631936.585583,17.342000,0,0.999399
8,20916318345.767502,4542609077.000000,837,16353933.891190,275577496.942233,37664238.013700,16353933.891190,221559325.037337,0.136674,19775377.577446,96.470000,0,0.990136
9,21165151323.340710,4641961476.000000,888,16506905.593676,275577496.942233,40288595.727900,16506905.593676,218781995.620651,0.146197,16284253.664653,77.598000,0,0.993454
10,19975952007.711533,4246811588.000000,1000,15713124.402338,275577496.942233,47097521.986299,15713124.402338,212766850.553589,0.170905,16016017.373473,64.364000,0,0.980640
