"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,23608.639997,7005.047436,7407,2767264.598000,108283924.481035,18112685.678996,2767264.598000,87403974.204023,0.167270,0.004973,0.500000,0,1.000000
2,24111.882644,6876.449677,6839,2872550.534000,108283924.481035,16564982.823995,2872550.534000,88846391.123024,0.152977,0.129763,18.500000,0,0.999992
3,23697.161737,7588.285228,7330,2684790.646000,108283924.481035,17951247.267996,2684790.646000,87647886.567024,0.165779,0.132634,19.000000,0,0.999992
4,24056.313813,7063.168149,7417,2832190.944000,108283924.481035,18106543.981996,2832190.944000,87345189.555024,0.167214,0.000000,0.000000,0,1.000000
5,23739.268818,7040.793995,7580,2783057.510000,108283924.481035,18560150.764996,2783057.510000,86940716.206023,0.171403,0.129763,18.500000,0,0.999992
6,24606.693956,7213.332421,7612,2898871.962000,108283924.481035,18586472.288996,2898871.962000,86798580.230023,0.171646,0.129763,18.500000,0,0.999992
7,23874.209115,7196.921175,6964,2779547.990000,108283924.481035,16940502.571995,2779547.990000,88563873.919024,0.156445,0.000000,0.000000,0,1.000000
8,24067.248436,7258.145709,7610,2800605.168000,108283924.481035,18630341.356996,2800605.168000,86852977.956023,0.172051,5.471719,961.000000,0,0.999840
9,23968.503468,6864.085302,7576,2849738.544000,108283924.481035,18516281.670996,2849738.544000,86917904.266024,0.170998,5.986902,1324.040000,0,0.999929
10,24214.551727,7000.300982,7393,2869040.962000,108283924.481035,18024947.412996,2869040.962000,87389936.106024,0.166460,0.004973,0.500000,0,1.000000
11,24529.634599,6820.406620,7355,2951514.934000,108283924.481035,17883688.821996,2951514.934000,87448720.725024,0.165156,0.138375,20.000000,0,0.999992
12,23800.882071,7321.299227,7313,2746207.454000,108283924.481035,17875792.335996,2746207.454000,87661924.691024,0.165083,2.338121,656.490000,0,0.999915
13,24069.357953,7181.368462,7188,2814643.288000,108283924.481035,17512555.962996,2814643.288000,87956725.230024,0.161728,0.129763,18.500000,0,0.999992
14,23461.586487,7273.795510,7304,2697074.008000,108283924.481035,17876669.749996,2697074.008000,87710180.723024,0.165091,5.346929,943.000000,0,0.999840
15,23947.177280,7111.828138,7216,2805869.418000,108283924.481035,17590643.049996,2805869.418000,87887412.013024,0.162449,0.132634,19.000000,0,0.999992
16,23510.231409,7022.328830,7665,2747962.136000,108283924.481035,18801431.024996,2747962.136000,86734531.320024,0.173631,0.129763,18.500000,0,0.999992
