"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,48560611.749573,40100594.115778,3544,14100000.000000,237740000.000004,36990000.000000,14100000.000000,186650000.000000,0.155590,17.633795,1072.416938,1,0.999999
2,48786948.326103,40140315.666630,3595,14410000.000000,237740000.000004,37600000.000000,14410000.000000,185730000.000000,0.158156,632.659473,8832.262678,1,0.999968
3,48563487.601072,39965349.950089,3524,14330000.000000,237740000.000004,36160000.000000,14330000.000000,187250000.000000,0.152099,137.650983,17757.206560,2,0.999998
4,48668702.366465,40124683.223170,3533,14240000.000000,237740000.000004,36740000.000000,14240000.000000,186760000.000000,0.154539,19.143295,1164.218712,1,0.999999
5,48889168.907487,40135080.472131,3515,14590000.000000,237740000.000004,36390000.000000,14590000.000000,186760000.000000,0.153066,88.435356,162.212924,1,0.999995
6,48696963.111815,40128879.194468,3574,14280000.000000,237740000.000004,37390000.000000,14280000.000000,186070000.000000,0.157273,83.917347,16374.239338,1,0.999998
7,48801012.164915,40202880.392098,3518,14330000.000000,237740000.000004,36390000.000000,14330000.000000,187020000.000000,0.153066,131.772817,25711.962152,1,0.999996
8,48292519.386531,39940456.054367,3500,13920000.000000,237740000.000004,36340000.000000,13920000.000000,187480000.000000,0.152856,63.332163,3851.609091,1,0.999998
9,48549432.323275,39920491.615962,3563,14380000.000000,237740000.000004,36730000.000001,14380000.000000,186629999.999999,0.154497,940.707313,57615.709480,3,0.999971
10,48651520.182269,39999520.182269,3486,14420000.000000,237740000.000004,35920000.000000,14420000.000000,187400000.000000,0.151089,0.000000,0.000000,0,1.000000
