"planning_unit","number"
4649,0
4648,7
4647,6
4646,1
4645,0
4644,9
4643,1
4642,0
4641,0
4640,0
4639,0
4638,2
4637,0
4636,0
4635,0
4634,5
4633,0
4632,10
4631,0
4630,0
4629,1
4628,0
4627,0
4626,0
4625,0
4624,0
4623,0
4622,8
4621,1
4620,9
4619,9
4618,1
4617,0
4616,1
4615,3
4614,8
4613,9
4612,4
4611,2
4610,9
4609,7
4608,0
4607,0
4606,3
4605,7
4604,0
4603,6
4602,0
4601,8
4600,2
4599,7
4598,0
4597,0
4596,5
4595,1
4594,0
4593,0
4592,0
4591,0
4590,6
4589,0
4588,2
4587,0
4586,0
4585,2
4584,0
4583,0
4582,0
4581,1
4580,0
4579,6
4578,9
4577,3
4576,9
4575,0
4574,0
4573,1
4572,0
4571,0
4570,0
4569,0
4568,10
4567,9
4566,1
4565,0
4564,1
4563,2
4562,0
4561,0
4560,0
4559,0
4558,0
4557,0
4556,6
4555,10
4554,0
4553,0
4552,0
4551,0
4550,7
4549,0
4548,0
4547,0
4546,1
4545,0
4544,0
4543,0
4542,0
4541,7
4540,0
4539,9
4538,0
4537,0
4536,7
4535,0
4534,1
4533,0
4532,1
4531,0
4530,6
4529,0
4528,0
4527,0
4526,0
4525,0
4524,4
4523,9
4522,3
4521,0
4520,0
4519,0
4518,0
4517,0
4516,0
4515,0
4514,0
4513,0
4512,2
4511,0
4510,0
4509,10
4508,0
4507,0
4506,0
4505,10
4504,1
4503,0
4502,0
4501,0
4500,0
4499,6
4498,2
4497,0
4496,0
4495,2
4494,0
4493,3
4492,3
4491,0
4490,10
4489,0
4488,2
4487,0
4486,0
4485,0
4484,0
4483,1
4482,0
4481,0
4480,8
4479,0
4478,0
4477,0
4476,9
4475,0
4474,2
4473,0
4472,1
4471,2
4470,4
4469,1
4468,0
4467,0
4466,9
4465,0
4464,0
4463,0
4462,2
4461,0
4460,0
4459,4
4458,1
4457,0
4456,2
4455,1
4454,4
4453,8
4452,0
4451,0
4450,0
4449,0
4448,0
4447,0
4446,9
4445,1
4444,9
4443,0
4442,0
4441,2
4440,1
4439,0
4438,0
4437,1
4436,0
4435,0
4434,0
4433,0
4432,0
4431,0
4430,1
4429,0
4428,2
4427,10
4426,1
4425,0
4424,0
4423,10
4422,0
4421,2
4420,0
4419,0
4418,5
4417,6
4416,1
4415,2
4414,9
4413,0
4412,9
4411,7
4410,1
4409,1
4408,0
4407,3
4406,0
4405,9
4404,0
4403,0
4402,0
4401,0
4400,0
4399,2
4398,0
4397,1
4396,0
4395,1
4394,1
4393,0
4392,0
4391,10
4390,6
4389,0
4388,2
4387,0
4386,0
4385,9
4384,0
4383,9
4382,0
4381,0
4380,0
4379,2
4378,0
4377,1
4376,2
4375,0
4374,0
4373,0
4372,0
4371,10
4370,7
4369,0
4368,0
4367,0
4366,0
4365,7
4364,0
4363,0
4362,0
4361,0
4360,7
4359,2
4358,0
4357,2
4356,8
4355,0
4354,0
4353,0
4352,0
4351,0
4350,0
4349,1
4348,0
4347,5
4346,1
4345,1
4344,6
4343,0
4342,0
4341,0
4340,0
4339,1
4338,0
4337,1
4336,0
4335,0
4334,5
4333,0
4332,0
4331,0
4330,0
4329,0
4328,0
4327,0
4326,2
4325,0
4324,3
4323,9
4322,0
4321,10
4320,0
4319,10
4318,0
4317,3
4316,0
4315,1
4314,5
4313,0
4312,0
4311,1
4310,5
4309,1
4308,0
4307,1
4306,0
4305,0
4304,0
4303,1
4302,7
4301,9
4300,2
4299,9
4298,0
4297,1
4296,0
4295,0
4294,0
4293,0
4292,1
4291,0
4290,4
4289,10
4288,1
4287,0
4286,6
4285,1
4284,0
4283,0
4282,0
4281,0
4280,3
4279,0
4278,0
4277,7
4276,0
4275,1
4274,3
4273,0
4272,9
4271,1
4270,0
4269,0
4268,7
4267,0
4266,0
4265,0
4264,1
4263,2
4262,0
4261,0
4260,2
4259,0
4258,0
4257,1
4256,0
4255,0
4254,0
4253,8
4252,7
4251,10
4250,5
4249,1
4248,0
4247,1
4246,0
4245,1
4244,0
4243,0
4242,2
4241,0
4240,0
4239,0
4238,0
4237,2
4236,4
4235,0
4234,0
4233,1
4232,7
4231,0
4230,2
4229,0
4228,0
4227,1
4226,5
4225,0
4224,0
4223,10
4222,0
4221,10
4220,0
4219,8
4218,0
4217,0
4216,0
4215,1
4214,6
4213,0
4212,9
4211,0
4210,1
4209,10
4208,0
4207,0
4206,0
4205,9
4204,7
4203,3
4202,1
4201,7
4200,10
4199,0
4198,0
4197,4
4196,7
4195,10
4194,0
4193,2
4192,0
4191,2
4190,0
4189,0
4188,0
4187,9
4186,0
4185,0
4184,0
4183,1
4182,10
4181,7
4180,0
4179,0
4178,1
4177,1
4176,0
4175,2
4174,0
4173,0
4172,3
4171,0
4170,1
4169,10
4168,0
4167,0
4166,2
4165,0
4164,3
4163,0
4162,0
4161,0
4160,4
4159,0
4158,0
4157,0
4156,2
4155,6
4154,5
4153,2
4152,1
4151,8
4150,0
4149,6
4148,0
4147,0
4146,0
4145,6
4144,1
4143,0
4142,0
4141,0
4140,4
4139,2
4138,0
4137,1
4136,1
4135,9
4134,0
4133,8
4132,3
4131,0
4130,5
4129,0
4128,3
4127,0
4126,0
4125,1
4124,9
4123,0
4122,0
4121,9
4120,0
4119,4
4118,2
4117,2
4116,0
4115,0
4114,3
4113,2
4112,0
4111,0
4110,0
4109,0
4108,0
4107,2
4106,0
4105,0
4104,7
4103,0
4102,6
4101,0
4100,0
4099,0
4098,0
4097,8
4096,0
4095,9
4094,0
4093,1
4092,0
4091,0
4090,0
4089,0
4088,0
4087,0
4086,1
4085,2
4084,4
4083,0
4082,0
4081,0
4080,2
4079,2
4078,0
4077,0
4076,3
4075,0
4074,0
4073,1
4072,0
4071,0
4070,3
4069,0
4068,7
4067,1
4066,0
4065,4
4064,0
4063,0
4062,0
4061,9
4060,0
4059,0
4058,6
4057,5
4056,0
4055,0
4054,0
4053,0
4052,0
4051,0
4050,2
4049,0
4048,6
4047,0
4046,8
4045,2
4044,0
4043,0
4042,7
4041,0
4040,0
4039,10
4038,2
4037,0
4036,1
4035,1
4034,1
4033,8
4032,2
4031,10
4030,0
4029,2
4028,0
4027,9
4026,0
4025,0
4024,8
4023,0
4022,0
4021,0
4020,0
4019,0
4018,0
4017,0
4016,7
4015,0
4014,1
4013,2
4012,2
4011,4
4010,0
4009,0
4008,0
4007,5
4006,7
4005,0
4004,0
4003,1
4002,3
4001,0
4000,7
3999,0
3998,0
3997,0
3996,0
3995,0
3994,0
3993,10
3992,4
3991,1
3990,0
3989,10
3988,2
3987,9
3986,0
3985,3
3984,3
3983,1
3982,1
3981,0
3980,0
3979,10
3978,4
3977,2
3976,0
3975,0
3974,0
3973,0
3972,5
3971,0
3970,0
3969,9
3968,4
3967,0
3966,0
3965,1
3964,2
3963,0
3962,0
3961,0
3960,2
3959,8
3958,1
3957,0
3956,0
3955,0
3954,0
3953,0
3952,0
3951,0
3950,6
3949,1
3948,0
3947,0
3946,9
3945,0
3944,3
3943,0
3942,6
3941,7
3940,0
3939,1
3938,0
3937,0
3936,0
3935,0
3934,0
3933,10
3932,0
3931,0
3930,10
3929,4
3928,5
3927,0
3926,0
3925,0
3924,1
3923,0
3922,0
3921,0
3920,0
3919,0
3918,0
3917,8
3916,0
3915,0
3914,3
3913,7
3912,9
3911,0
3910,0
3909,2
3908,1
3907,2
3906,0
3905,1
3904,10
3903,0
3902,5
3901,8
3900,2
3899,0
3898,4
3897,1
3896,0
3895,9
3894,4
3893,3
3892,0
3891,0
3890,0
3889,8
3888,6
3887,9
3886,0
3885,0
3884,0
3883,0
3882,0
3881,0
3880,0
3879,0
3878,0
3877,0
3876,0
3875,6
3874,0
3873,0
3872,2
3871,1
3870,0
3869,0
3868,0
3867,9
3866,4
3865,0
3864,0
3863,2
3862,0
3861,1
3860,0
3859,0
3858,0
3857,1
3856,0
3855,1
3854,1
3853,0
3852,3
3851,0
3850,0
3849,0
3848,0
3847,2
3846,0
