"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,63413456276.770264,6078639797.000000,864,11449815.291920,275577496.942233,41133406.177300,11449815.291920,222994275.473008,0.149263,85740020.170275,80.052000,0,0.989408
2,66811365074.919998,6029254364.000000,857,12156422.142184,275577496.942233,40344283.999000,12156422.142184,223076790.801044,0.146399,0.000000,0.000000,0,1.000000
3,63895502249.469978,5735559422.000000,855,11631988.565494,275577496.942233,40778650.103400,11631988.565494,223166858.273334,0.147975,0.000000,0.000000,0,1.000000
4,65079891349.384995,6858382268.000000,874,11644301.816277,275577496.942233,42102156.886800,11644301.816277,221831038.239151,0.152778,0.000000,0.000000,0,1.000000
5,66654713670.799332,6357380830.000000,887,12046652.450179,275577496.942233,42230538.707000,12046652.450179,221300305.785049,0.153244,64070589.904361,60.492000,0,0.990965
6,65559316768.419983,5796756908.000000,851,11952511.972084,275577496.942233,40347527.069899,11952511.972084,223277457.900244,0.146411,0.000000,0.000000,0,1.000000
7,64000097171.119980,6171692912.000000,859,11565680.851824,275577496.942233,40891503.216000,11565680.851824,223120312.874404,0.148385,0.000000,0.000000,0,1.000000
8,65448692873.759987,6387573882.000000,852,11812223.798352,275577496.942233,40493091.319599,11812223.798352,223272181.824275,0.146939,0.000000,0.000000,0,1.000000
9,65371020145.579979,6839167924.000000,857,11706370.444316,275577496.942233,40576759.939900,11706370.444316,223294366.558012,0.147243,0.000000,0.000000,0,1.000000
10,66941415104.209976,5710188167.000000,907,12246245.387442,275577496.942233,43385504.847299,12246245.387442,219945746.707485,0.157435,0.000000,0.000000,0,1.000000
