"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,38351496.309063,37361728.034648,3474,32990000.000003,237740000.000004,26020000.000001,32990000.000003,178729999.999997,0.109447,68.274415,5344.647200,1,0.999997
2,38242701.425324,37233167.112662,3465,33650000.000002,237740000.000004,25500000.000001,33650000.000002,178589999.999998,0.107260,34.312662,8522.516533,2,0.999999
3,38396995.557133,37395945.317773,3465,33360000.000002,237740000.000004,25570000.000001,33360000.000002,178809999.999997,0.107554,250.239360,47270.232133,3,0.999993
4,38175155.052167,37179591.773803,3476,33180000.000003,237740000.000004,25740000.000001,33180000.000003,178819999.999998,0.108270,163.278364,34827.467419,2,0.999995
5,38424118.775551,37430431.015794,3462,33110000.000002,237740000.000004,25670000.000001,33110000.000002,178959999.999998,0.107975,387.759757,14395.153444,4,0.999978
6,38278930.618678,37275010.708330,3462,33450000.000002,237740000.000004,25470000.000001,33450000.000002,178819999.999998,0.107134,419.910347,97258.944162,2,0.999986
7,38485566.514001,37484457.628863,3466,33370000.000002,237740000.000004,25610000.000001,33370000.000002,178759999.999998,0.107723,8.885138,2442.400771,1,1.000000
8,38408131.114436,37407781.473828,3465,33340000.000002,237740000.000004,25590000.000001,33340000.000002,178809999.999998,0.107639,149.640608,24163.980376,2,0.999996
9,38244565.123683,37248521.633399,3462,33200000.000002,237740000.000004,25490000.000001,33200000.000002,179049999.999998,0.107218,43.490284,10028.955409,2,0.999999
10,38259857.445688,37272789.494343,3464,32900000.000002,237740000.000004,25730000.000001,32900000.000002,179109999.999998,0.108227,67.951345,5795.990281,2,0.999997
