id,name,prop,spf
4637,Lagoonexposedfringingreefflat,0.1,100
4638,Lagoonexposedfringingshallowterrace,0.1,100
4639,Oceanexposedfringingchannel,0.1,100
4640,Oceanexposedfringingdeepterrace,0.1,100
4641,Oceanexposedfringingenclosedlagoonorbasin,0.1,100
4642,Oceanexposedfringingforereef,0.1,100
4643,Oceanexposedfringingreefflat,0.1,100
4644,Oceanexposedfringingshallowterrace,0.1,100
4655,OuterBarrierReefComplexforereef,0.1,100
4656,OuterBarrierReefComplexpass,0.1,100
4657,OuterBarrierReefComplexreefflat,0.1,100
4670,GeneralizedPatch,0.1,100
4671,GeneralizedLagoon,0.1,100
4672,GeneralizedFringing,0.1,100
4673,GeneralizedBarrier,0.1,100
1000000,random,0,100
1000001,StatelandGovtland,0,100
1000002,BeetleNutFarm,0,100
1000003,CashCropCoffee,0,100
1000004,Cashcropscocoa,0,100
1000005,Cashcropscoconut,0,100
1000006,CashcropsVanilla,0,100
1000007,CattlefarmPigfarmChickenfarm,0,100
1000008,Fishfarmpond,0,100
1000009,FruitandVeggiefarming,0,100
1000010,Introducedcrops,0,100
1000012,OilPalmexisting,0,100
1000013,OilPlamproposed,0,100
1000014,Researchsites,0.9,100
1000015,Commercialfloriculture,0,100
1000016,Spiceagriculturalactivity,0,100
1000017,Rubberplantationproposed,0,100
1000022,Seagrassbeds,0.3,100
1000023,Shellsmangroves,0.3,100
1000024,Mangroves,0.3,100
1000025,ConservationAreaMarine,0.5,100
1000026,ConservationAreaMarineproposed,0.5,100
1000027,ConservationAreaTerrestrial,0.5,100
1000028,ConservationAreaTerrestrialproposed,0.5,100
1000029,WildlifeMngtAreaWMA,0.5,100
1000031,Cemetary,0,100
1000032,SacredSitesPlesTambu,0,100
1000033,WWIIsites,0,100
1000034,ShellTabuMoney,0,100
1000035,Disasteraffectedarea,0,100
1000036,Floodways,0,100
1000037,Resettlementareafromnaturaldisaster,0,100
1000038,Guesthouse,0,100
1000040,Touristtracks,0.5,100
1000041,Tourismcoralreefs,0.5,100
1000042,Tourismforest,0.5,100
1000045,FishAggregationDeviseFADs,0.5,100
1000046,Fishingzonefreshwater,0,100
1000047,Fishingzonesmarine,0,100
1000048,HuntingZone,0,100
1000049,Megapodeeggs,0,100
1000050,Nontimberbuildingmaterialforest,0,100
1000051,Forestvirginuntouched,0.5,100
1000052,Balsawoodlots,0,100
1000053,Bambooforest,0,100
1000054,CertifiedCommunityForest,0.3,100
1000055,Forestplanationreforestation,0.3,100
1000055,Forestplanationreforestation,0.3,100
1000056,Loggingcurrent,0,100
1000057,LoggingexpiredTRPFMA,0,100
1000058,LoggingproposedTRPFMA,0,100
1000060,Reforestationproposed,0.3,100
1000061,IndustrialArea,0,100
1000062,Powerstationexisting,0,100
1000063,Solarpowerplantproposed,0,100
1000064,Hydroelectricpowerproposed,0,100
1000065,Reservoirwatersupply,0,100
1000067,Roadsproposed,0,100
1000068,Digicelltower,0,100
1000070,Markets,0,100
1000071,Fishmarket,0,100
1000072,Jettiesexisting,0,100
1000073,Jettiesproposed,0,100
1000074,Wharfexisting,0,100
1000075,Wharfproposed,0,100
1000076,ResourceCentreexisting,0,100
1000077,ResourceCentreproposed,0,100
1000078,BiologicalResearchStaion,0.5,100
1000079,Miningcurrent,0,100
1000080,Miningproposed,0,100
1000081,MiningLimestoneproposed,0,100
1000082,Miningsmallscalealluvial,0,100
1000084,Fishnontunaoffshore,0,100
1000086,Bechedemerreef,0,100
1000088,Clams,0,100
1000089,MissionStations,0,100
1000090,Villagesmissingnameslocation,0,100
1000092,Freshwaterlake,0.7,100
1000093,Hotspring,0.3,100
1000096,Volcano,0,100
1000098,Caves,0.3,100
1000101,Churchland,0.3,100
1000102,PandanusKaruka,0.3,100
1000103,PandanusMarita,0.3,100
1000104,Sagopalmareaswamp,0.3,100
1000106,Turtlenestingbeachmarine,0.5,100
1000107,BirdSanctuary,0.5,100
1000108,Cassowaryhabitat,0.5,100
1000109,CusCushabitat,0.5,100
1000110,Dugonghabitat,0.5,100
1000111,Crocodilebreedinggrounds,0.5,100
1000301,BarAlluvialPlains,0.17,100
1000302,CompositeAlluvialPlains,0.17,100
1000303,TerraceAlluvialPlains,0.17,100
1000305,CoastalBeachSandFlats,0.17,100
1000306,CoastalCoralFlats,0.17,100
1000307,MangrovesFlats,0.17,100
1000308,CoastalplainswithLongterminundated,0.17,100
1000309,CoastalplainswithNofloodingorinundation,0.17,100
1000314,LimestoneFoothillswithSlope20,0.17,100
1000315,LimestoneFoothillswithSlope20,0.17,100
1000316,LimestoneFoothillswithSlope1020,0.17,100
1000317,LimestoneFoothillswithSlope25,0.17,100
1000318,LimestoneFoothillswithSlope510,0.17,100
1000319,OtherFoothillswithSlope2,0.17,100
1000320,OtherFoothillswithSlope20,0.17,100
1000321,OtherFoothillswithSlope1020,0.17,100
1000322,OtherFoothillswithSlope25,0.17,100
1000323,OtherFoothillswithSlope510,0.17,100
1000324,VolcanicFoothillswithSlope2,0.17,100
1000325,VolcanicFoothillswithSlope20,0.17,100
1000326,VolcanicFoothillswithSlope1020,0.17,100
1000327,VolcanicFoothillswithSlope25,0.17,100
1000328,VolcanicFoothillswithSlope510,0.17,100
1000331,LimestoneRidgeswithSlope2,0.17,100
1000332,LimestoneRidgeswithSlope20,0.17,100
1000333,LimestoneRidgeswithSlope1020,0.17,100
1000334,LimestoneRidgeswithSlope25,0.17,100
1000335,LimestoneRidgeswithSlope510,0.17,100
1000336,OtherRidgeswithSlope20,0.17,100
1000337,OtherRidgeswithSlope1020,0.17,100
1000338,OtherRidgeswithSlope510,0.17,100
1000339,LeveeplainRiverValleys,0.17,100
1000340,VolcanicRidgeswithSlope20,0.17,100
1000341,VolcanicRidgeswithSlope1020,0.17,100
1000343,VolcanicRidgeswithSlope510,0.17,100
1000401,Platymantisbufonulus,0.5,100
1000402,Platymantiscaesiops,0.5,100
1000403,Platymantismamusiorum,0.5,100
1000404,Platymantisnakanaiorum,0.5,100
1000405,Platymantissulcatus,0.5,100
1000500,climref,0.05,100
1000701,Bare0,0,100
1000702,Cultivatedland0,0,100
1000704,ForestLargecrownLowAltPlains1000m0,0,100
1000706,ForestMediumCrownLowAltUplands1000m0,0,100
1000708,ForestOpenLowAltPlains1000m0,0,100
1000709,ForestSmallCrown0,0,100
1000711,ForestSmallCrownLowAltUplands1000m0,0,100
1000714,ForestSmallCrownLowMontane1000m0,0,100
1000716,ForestSmallCrownLowMontane1000mwNothofag0,0,100
1000717,ForestVerySmallCrownLowMontane1000m0,0,100
1000719,ForestVerySmallCrownLowMontane1000mNotho0,0,100
1000726,Grasslands0,0,100
1000727,Herbaceousswamp0,0,100
1000728,Lakesandlargerrivers0,0,100
1000729,Landuse040,0,100
1000730,Mangrove0,0,100
1000732,Mixedforest0,0,100
1000735,Riverinesuccessionsdominatedbygrass0,0,100
1000739,RiverinesuccessionswithEucalyptusdeglupta0,0,100
1000752,Swampgrassland0,0,100
1000753,Swampwoodland0,0,100
1000756,TimberPlantation0,0,100
1000757,Urban0,0,100
1000759,Volcanicsuccessionsdominatedbyscrub0,0,100
1000765,Cultivatedland20,0,100
1000766,ForestLargecrownLowAltPlains1000m20,0,100
1000768,ForestMediumCrownLowAltUplands1000m20,0,100
1000781,ForestLargecrownLowAltPlains1000m40,0,100
1000782,ForestMediumCrownLowAltUplands1000m40,0,100
1000784,ForestOpenLowAltPlains1000m40,0,100
1000786,ForestSmallCrownLowMontane1000m40,0,100
1000787,ForestVerySmallCrownLowMontane1000m40,0,100
1000788,RiverinesuccessionswithEucalyptusdeglupta40,0,100
