"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
2000968,Volcanicsuccessionsdominatedbywoodland100,8968015.780000,16821720.000000,0,15,0,0,yes,1.000000
2000967,Volcanicsuccessionsdominatedbyscrub100,22860710.560000,22938531.000000,0,31,0,0,yes,1.000000
2000966,Volcanicsuccessionsdominatedbygrass100,731769.080000,1334828.000000,0,6,0,0,yes,1.000000
2000965,Urban100,0.000000,0.000000,0,0,0,0,,1.000000
2000964,TimberPlantation100,10118765.840000,13709654.000000,0,11,0,0,yes,1.000000
2000961,Swampwoodland100,94917804.080000,160172494.000000,0,180,0,0,yes,1.000000
2000960,Swampgrassland100,2731165.600000,7567633.000000,0,12,0,0,yes,1.000000
2000957,SwampforestwithCampnosperma100,15142310.720000,18118918.000000,0,37,0,0,yes,1.000000
2000955,Swamp100,55623349.920000,98113811.000000,0,141,0,0,yes,1.000000
2000953,SeralForestVolcanicsuccessions100,27412781.520000,30800745.000000,0,35,0,0,yes,1.000000
2000952,Scrub100,3883653.060000,4140807.000000,0,11,0,0,yes,1.000000
2000947,RiverinesuccessionswithEucalyptusdeglupta100,24485008.200000,26241098.000000,0,64,0,0,yes,1.000000
2000944,Riverinesuccessionsdominatedbywoodland100,1237214.440000,1276917.000000,0,4,0,0,yes,1.000000
2000941,Oilpalm100,0.000000,102847334.000000,0,107,0,0,,1.000000
2000940,Mixedforest100,4956992.600000,4985192.000000,0,6,0,0,yes,1.000000
2000938,Mangrove100,45769455.640000,45994913.000000,0,119,0,0,yes,1.000000
2000937,Lakesandlargerrivers100,3494124.580000,5493037.000000,0,44,0,0,yes,1.000000
2000936,Herbaceousswamp100,22134501.840000,57071712.000000,0,74,0,0,yes,1.000000
2000935,Grasslands100,573343.020000,946320.000000,0,4,0,0,yes,1.000000
2000934,Grasslandwithsomeforest100,10700492.240000,11138832.000000,0,14,0,0,yes,1.000000
2000933,Grasslandrevertingtoforest100,462012.060000,745672.000000,0,3,0,0,yes,1.000000
2000931,ForestwithCasuarinaequisetifoliaLittoral100,568292.660000,656541.000000,0,4,0,0,yes,1.000000
2000928,ForestVerySmallCrownLowMontane1000mNotho100,28448717.320000,83672698.000000,0,76,0,0,yes,1.000000
2000926,ForestVerySmallCrownLowMontane1000m100,41197124.760000,80913904.000000,0,74,0,0,yes,1.000000
2000925,ForestSmallCrownLowMontane1000mwNothofag100,4637271.220000,13639033.000000,0,14,0,0,yes,1.000000
2000923,ForestSmallCrownLowMontane1000m100,155167616.280000,216807997.000000,0,228,0,0,yes,1.000000
2000920,ForestSmallCrownLowAltUplands1000m100,308177647.980000,464321044.000000,0,301,0,0,yes,1.000000
2000919,ForestSmallCrownLowAltPlains1000m100,2834048.580000,3065258.000000,0,9,0,0,yes,1.000000
2000918,ForestSmallCrown100,93703916.700000,93709917.000000,0,77,0,0,yes,1.000000
2000917,ForestOpenLowAltPlains1000m100,155153306.360000,155154692.000000,0,180,0,0,yes,1.000000
2000915,ForestMediumCrownLowAltUplands1000m100,3269326579.060000,3294128991.000000,0,2193,0,0,yes,1.000000
2000914,ForestLargeCrownLowAltUplands1000m100,118445695.620000,118860634.000000,0,103,0,0,yes,1.000000
2000913,ForestLargecrownLowAltPlains1000m100,181585292.600000,182102910.000000,0,195,0,0,yes,1.000000
2000911,Cultivatedland100,0.000000,3571560.000000,0,10,0,0,,1.000000
2000905,RiverinesuccessionswithEucalyptusdeglupta90,1508090.060000,4435559.000000,0,11,0,0,yes,1.000000
2000904,Oilpalm90,0.000000,0.000000,0,0,0,0,,1.000000
2000896,ForestSmallCrownLowAltUplands1000m90,19617706.240000,19658543.000000,0,17,0,0,yes,1.000000
2000894,ForestOpenLowAltPlains1000m90,49221104.020000,50171879.000000,0,32,0,0,yes,1.000000
2000892,ForestMediumCrownLowAltUplands1000m90,668708594.220000,668893913.000000,0,556,0,0,yes,1.000000
