id,prop,spf,name
139,0.2,0.08,Fis-23478_surface.grd
140,0.2,0.08,Fis-23480_surface.grd
141,0.2,0.08,Fis-23507_surface.grd
142,0.2,0.08,Fis-23518_surface.grd
143,0.2,0.08,Fis-23523_surface.grd
144,0.2,0.08,Fis-23537_surface.grd
145,0.2,0.08,Fis-23547_surface.grd
146,0.2,0.08,Fis-23550_surface.grd
147,0.2,0.08,Fis-23576_surface.grd
148,0.2,0.08,Fis-23579_surface.grd
149,0.2,0.08,Fis-23587_surface.grd
150,0.2,0.08,Fis-23606_surface.grd
151,0.2,0.08,Fis-23639_surface.grd
152,0.2,0.08,Fis-23650_surface.grd
153,0.2,0.08,Fis-23666_surface.grd
154,0.2,0.08,Fis-23674_surface.grd
155,0.2,0.08,Fis-23677_surface.grd
156,0.2,0.08,Fis-23679_surface.grd
157,0.2,0.08,Fis-23707_surface.grd
158,0.2,0.08,Fis-23708_surface.grd
159,0.2,0.08,Fis-23709_surface.grd
160,0.2,0.08,Fis-23716_surface.grd
161,0.2,0.08,Fis-23717_surface.grd
162,0.2,0.08,Fis-23720_surface.grd
163,0.2,0.08,Fis-23725_surface.grd
164,0.2,0.08,Fis-23736_surface.grd
165,0.2,0.08,Fis-23737_surface.grd
166,0.2,0.08,Fis-23739_surface.grd
167,0.2,0.08,Fis-23749_surface.grd
168,0.2,0.08,Fis-23758_surface.grd
169,0.2,0.08,Fis-23759_surface.grd
170,0.2,0.08,Fis-23765_surface.grd
171,0.2,0.08,Fis-23774_surface.grd
172,0.2,0.08,Fis-23806_surface.grd
173,0.2,0.08,Fis-23811_surface.grd
174,0.2,0.08,Fis-23821_surface.grd
175,0.2,0.08,Fis-23823_surface.grd
176,0.2,0.08,Fis-23824_surface.grd
177,0.2,0.08,Fis-23826_surface.grd
178,0.2,0.08,Fis-23834_surface.grd
179,0.2,0.08,Fis-23845_surface.grd
180,0.2,0.08,Fis-23846_surface.grd
181,0.2,0.08,Fis-23847_surface.grd
182,0.2,0.08,Fis-23865_surface.grd
183,0.2,0.08,Fis-23876_surface.grd
184,0.2,0.08,Fis-23879_surface.grd
185,0.2,0.08,Fis-23893_surface.grd
186,0.2,0.08,Fis-23898_surface.grd
187,0.2,0.08,Fis-23954_surface.grd
188,0.2,0.08,Fis-23995_surface.grd
189,0.2,0.08,Fis-24039_surface.grd
190,0.2,0.08,Fis-24044_surface.grd
191,0.2,0.08,Fis-24046_surface.grd
192,0.2,0.08,Fis-24078_surface.grd
193,0.2,0.08,Fis-24372_surface.grd
194,0.2,0.08,Fis-24377_surface.grd
195,0.2,0.08,Fis-24378_surface.grd
196,0.2,0.08,Fis-24479_surface.grd
197,0.2,0.08,Fis-24676_surface.grd
198,0.2,0.08,Fis-24762_surface.grd
199,0.2,0.08,Fis-24789_surface.grd
200,0.2,0.08,Fis-24930_surface.grd
201,0.2,0.08,Fis-24931_surface.grd
202,0.2,0.08,Fis-24942_surface.grd
203,0.2,0.08,Fis-25016_surface.grd
204,0.2,0.08,Fis-25062_surface.grd
