solution,cluster
1,1
2,1
3,2
4,3
5,3
6,1
7,3
8,3
9,2
10,1
11,1
12,2
13,2
14,3
15,2
16,2
17,2
18,1
19,2
20,2
21,1
22,1
23,3
24,3
25,1
26,2
27,2
28,3
29,3
30,2
31,3
32,3
33,1
34,3
35,3
36,2
37,1
38,3
39,3
40,1
41,3
42,3
43,1
44,2
45,2
46,3
47,3
48,1
49,3
50,3
51,2
52,2
53,1
54,3
55,1
56,3
57,1
58,1
59,2
60,1
61,3
62,1
63,3
64,3
65,3
66,3
67,1
68,2
69,2
70,2
71,1
72,3
73,2
74,3
75,1
76,3
77,2
78,1
79,2
80,2
81,2
82,3
83,3
84,3
85,3
86,3
87,1
88,3
89,3
90,3
91,3
92,3
93,1
94,2
95,3
96,2
97,3
98,2
99,3
100,3
