"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,5002870668.871265,3315734049.000000,839,16788675.611011,275577496.942233,37954960.197700,16788675.611011,220833861.133516,0.137729,8269058.770175,162.584000,0,0.984083
2,4906771913.468636,3235892204.000000,840,16590702.759427,275577496.942233,37866479.336100,16590702.759427,221120314.846700,0.137408,11809433.525946,145.536000,0,0.995190
3,4987865526.658202,3209328095.000000,863,17652944.906459,275577496.942233,38625944.488900,17652944.906459,219298607.546868,0.140164,13242941.012314,233.016000,0,0.995629
4,4918550597.429599,3217844191.000000,844,16919553.678485,275577496.942233,37952924.365400,16919553.678485,220705018.898342,0.137721,8751038.581110,206.352000,0,0.982562
5,4928085865.169813,3228883339.000000,848,16871723.796902,275577496.942233,38145475.303500,16871723.796902,220560297.841825,0.138420,12030146.479623,165.252000,0,0.995190
6,5036244627.187954,3317732252.000000,844,16844165.255770,275577496.942233,38012248.040400,16844165.255770,220721083.646057,0.137937,34095849.610963,415.278000,0,0.985712
7,4923042328.566211,3224138160.000000,844,16960801.954416,275577496.942233,37892118.666600,16960801.954416,220724576.321211,0.137501,2823973.124622,63.224000,0,0.998019
8,4980590626.199109,3311030220.000000,845,16525265.451808,275577496.942233,38164376.512800,16525265.451808,220887854.977619,0.138489,17033861.018319,390.580000,0,0.970987
9,4972543685.965460,3263325604.000000,843,16933506.052171,275577496.942233,37995907.226900,16933506.052171,220648083.663156,0.137877,15867476.748371,230.114000,0,0.981827
10,4967433154.462616,3218224890.000000,846,17341548.605149,275577496.942233,37876119.556900,17341548.605149,220359828.780178,0.137443,15053403.947727,361.380000,0,0.983266
