"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
2000968,Volcanicsuccessionsdominatedbywoodland100,8968015.780000,13944448.000000,0,13,0,0,yes,1.000000
2000967,Volcanicsuccessionsdominatedbyscrub100,22860710.560000,22920860.000000,0,32,0,0,yes,1.000000
2000966,Volcanicsuccessionsdominatedbygrass100,731769.080000,1334828.000000,0,6,0,0,yes,1.000000
2000965,Urban100,0.000000,0.000000,0,0,0,0,,1.000000
2000964,TimberPlantation100,10118765.840000,10846985.000000,0,8,0,0,yes,1.000000
2000961,Swampwoodland100,94917804.080000,137732902.000000,0,161,0,0,yes,1.000000
2000960,Swampgrassland100,2731165.600000,6757466.000000,0,12,0,0,yes,1.000000
2000957,SwampforestwithCampnosperma100,15142310.720000,18048197.000000,0,39,0,0,yes,1.000000
2000955,Swamp100,55623349.920000,84348087.000000,0,124,0,0,yes,1.000000
2000953,SeralForestVolcanicsuccessions100,27412781.520000,49537237.000000,0,48,0,0,yes,1.000000
2000952,Scrub100,3883653.060000,4005347.000000,0,13,0,0,yes,1.000000
2000947,RiverinesuccessionswithEucalyptusdeglupta100,24485008.200000,24676514.000000,0,63,0,0,yes,1.000000
2000944,Riverinesuccessionsdominatedbywoodland100,1237214.440000,1395736.000000,0,4,0,0,yes,1.000000
2000941,Oilpalm100,0.000000,100414832.000000,0,103,0,0,,1.000000
2000940,Mixedforest100,4956992.600000,4956265.000000,0,9,0,0,yes,0.999853
2000938,Mangrove100,45769455.640000,45783985.000000,0,134,0,0,yes,1.000000
2000937,Lakesandlargerrivers100,3494124.580000,4974684.000000,0,42,0,0,yes,1.000000
2000936,Herbaceousswamp100,22134501.840000,52597746.000000,0,69,0,0,yes,1.000000
2000935,Grasslands100,573343.020000,957527.000000,0,5,0,0,yes,1.000000
2000934,Grasslandwithsomeforest100,10700492.240000,11589422.000000,0,13,0,0,yes,1.000000
2000933,Grasslandrevertingtoforest100,462012.060000,745672.000000,0,3,0,0,yes,1.000000
2000931,ForestwithCasuarinaequisetifoliaLittoral100,568292.660000,774309.000000,0,3,0,0,yes,1.000000
2000928,ForestVerySmallCrownLowMontane1000mNotho100,28448717.320000,76048512.000000,0,66,0,0,yes,1.000000
2000926,ForestVerySmallCrownLowMontane1000m100,41197124.760000,54806571.000000,0,63,0,0,yes,1.000000
2000925,ForestSmallCrownLowMontane1000mwNothofag100,4637271.220000,12492876.000000,0,12,0,0,yes,1.000000
2000923,ForestSmallCrownLowMontane1000m100,155167616.280000,156357634.000000,0,177,0,0,yes,1.000000
2000920,ForestSmallCrownLowAltUplands1000m100,308177647.980000,308655970.000000,0,202,0,0,yes,1.000000
2000919,ForestSmallCrownLowAltPlains1000m100,2834048.580000,2870871.000000,0,8,0,0,yes,1.000000
2000918,ForestSmallCrown100,93703916.700000,191259418.000000,0,147,0,0,yes,1.000000
2000917,ForestOpenLowAltPlains1000m100,155153306.360000,155224428.000000,0,182,0,0,yes,1.000000
2000915,ForestMediumCrownLowAltUplands1000m100,3269326579.060000,3269496091.000000,0,2178,0,0,yes,1.000000
2000914,ForestLargeCrownLowAltUplands1000m100,118445695.620000,118741936.000000,0,109,0,0,yes,1.000000
2000913,ForestLargecrownLowAltPlains1000m100,181585292.600000,184479556.000000,0,197,0,0,yes,1.000000
2000911,Cultivatedland100,0.000000,3042213.000000,0,8,0,0,,1.000000
2000905,RiverinesuccessionswithEucalyptusdeglupta90,1508090.060000,4435559.000000,0,11,0,0,yes,1.000000
2000904,Oilpalm90,0.000000,0.000000,0,0,0,0,,1.000000
2000896,ForestSmallCrownLowAltUplands1000m90,19617706.240000,20122826.000000,0,17,0,0,yes,1.000000
2000894,ForestOpenLowAltPlains1000m90,49221104.020000,49462124.000000,0,32,0,0,yes,1.000000
2000892,ForestMediumCrownLowAltUplands1000m90,668708594.220000,669213619.000000,0,541,0,0,yes,1.000000
2000891,ForestLargeCrownLowAltUplands1000m90,34750403.800000,34884034.000000,0,33,0,0,yes,1.000000
2000890,ForestLargecrownLowAltPlains1000m90,27062255.460000,27485397.000000,0,35,0,0,yes,1.000000
2000879,RiverinesuccessionswithEucalyptusdeglupta80,1723513.720000,2008354.000000,0,7,0,0,yes,1.000000
2000877,Oilpalm80,0.000000,53819.000000,0,1,0,0,,1.000000
2000866,ForestSmallCrownLowAltUplands1000m80,3115334.660000,3844907.000000,0,2,0,0,yes,1.000000
2000863,ForestOpenLowAltPlains1000m80,46636626.660000,46715587.000000,0,61,0,0,yes,1.000000
2000861,ForestMediumCrownLowAltUplands1000m80,365187871.160000,365324571.000000,0,334,0,0,yes,1.000000
2000860,ForestLargeCrownLowAltUplands1000m80,10760328.840000,10882014.000000,0,13,0,0,yes,1.000000
2000859,ForestLargecrownLowAltPlains1000m80,32893028.000000,32930241.000000,0,37,0,0,yes,1.000000
2000857,Cultivatedland80,0.000000,0.000000,0,0,0,0,,1.000000
2000851,Volcanicsuccessionsdominatedbywoodland50,90508.680000,162389.000000,0,3,0,0,yes,1.000000
2000850,Volcanicsuccessionsdominatedbyscrub50,933537.660000,2470369.000000,0,17,0,0,yes,1.000000
2000849,Volcanicsuccessionsdominatedbygrass50,299823.900000,746296.000000,0,8,0,0,yes,1.000000
2000848,Urban50,0.000000,20324.000000,0,1,0,0,,1.000000
2000847,TimberPlantation50,0.000000,18660.000000,0,2,0,0,,1.000000
2000844,Swampwoodland50,356892.900000,565567.000000,0,22,0,0,yes,1.000000
2000843,Swampgrassland50,67046.640000,171721.000000,0,6,0,0,yes,1.000000
2000840,SwampforestwithCampnosperma50,21054.160000,32047.000000,0,4,0,0,yes,1.000000
2000838,Swamp50,111377.200000,144174.000000,0,10,0,0,yes,1.000000
2000836,SeralForestVolcanicsuccessions50,52423.580000,58392.000000,0,4,0,0,yes,1.000000
2000830,RiverinesuccessionswithEucalyptusdeglupta50,532972.440000,534098.000000,0,26,0,0,yes,1.000000
2000824,Oilpalm50,0.000000,1707309.000000,0,37,0,0,,1.000000
2000823,Mixedforest50,2685.320000,6644.000000,0,2,0,0,yes,1.000000
2000821,Mangrove50,220383.240000,224707.000000,0,22,0,0,yes,1.000000
2000820,Landuse0450,0.000000,648802.000000,0,26,0,0,,1.000000
2000819,Lakesandlargerrivers50,128946.020000,320117.000000,0,13,0,0,yes,1.000000
2000818,Herbaceousswamp50,1615869.040000,4325872.000000,0,30,0,0,yes,1.000000
2000817,Grasslands50,188816.280000,227601.000000,0,4,0,0,yes,1.000000
2000816,Grasslandwithsomeforest50,2346094.180000,2398653.000000,0,13,0,0,yes,1.000000
2000815,Grasslandrevertingtoforest50,12411.360000,34394.000000,0,2,0,0,yes,1.000000
2000810,ForestVerySmallCrownLowMontane1000mNotho50,57206.700000,165915.000000,0,12,0,0,yes,1.000000
2000808,ForestVerySmallCrownLowMontane1000m50,299605.960000,666347.000000,0,17,0,0,yes,1.000000
2000807,ForestSmallCrownLowMontane1000mwNothofag50,9278.260000,27289.000000,0,2,0,0,yes,1.000000
2000805,ForestSmallCrownLowMontane1000m50,246787.640000,476089.000000,0,24,0,0,yes,1.000000
2000802,ForestSmallCrownLowAltUplands1000m50,111907.600000,269864.000000,0,11,0,0,yes,1.000000
2000801,ForestSmallCrownLowAltPlains1000m50,18446.360000,29354.000000,0,4,0,0,yes,1.000000
2000800,ForestSmallCrown50,14156.920000,33307.000000,0,4,0,0,yes,1.000000
2000799,ForestOpenLowAltPlains1000m50,4683025.700000,4706086.000000,0,70,0,0,yes,1.000000
2000797,ForestMediumCrownLowAltUplands1000m50,58983546.800000,59061541.000000,0,438,0,0,yes,1.000000
2000796,ForestLargeCrownLowAltUplands1000m50,16805275.540000,16805531.000000,0,34,0,0,yes,1.000000
2000795,ForestLargecrownLowAltPlains1000m50,1183658.320000,1183834.000000,0,68,0,0,yes,1.000000
2000793,Cultivatedland50,0.000000,109060.000000,0,5,0,0,,1.000000
2000792,Bare10,0.000000,0.000000,0,0,0,0,,1.000000
2000791,TimberPlantation40,0.000000,0.000000,0,0,0,0,,1.000000
2000784,ForestOpenLowAltPlains1000m40,0.000000,4268298.000000,0,7,0,0,,1.000000
2000782,ForestMediumCrownLowAltUplands1000m40,0.000000,9133594.000000,0,15,0,0,,1.000000
2000781,ForestLargecrownLowAltPlains1000m40,0.000000,0.000000,0,0,0,0,,1.000000
2000774,Oilpalm20,0.000000,1845395.000000,0,4,0,0,,1.000000
2000767,ForestLargeCrownLowAltUplands1000m20,0.000000,6859756.000000,0,11,0,0,,1.000000
2000766,ForestLargecrownLowAltPlains1000m20,0.000000,6242297.000000,0,10,0,0,,1.000000
2000764,Bare10,0.000000,0.000000,0,0,0,0,,1.000000
2000763,Oilpalm10,0.000000,0.000000,0,0,0,0,,1.000000
2000762,ForestMediumCrownLowAltUplands1000m10,0.000000,0.000000,0,0,0,0,,1.000000
2000760,Volcanicsuccessionsdominatedbywoodland0,0.000000,148846.000000,0,2,0,0,,1.000000
2000759,Volcanicsuccessionsdominatedbyscrub0,0.000000,6291562.000000,0,20,0,0,,1.000000
2000758,Volcanicsuccessionsdominatedbygrass0,0.000000,5650362.000000,0,8,0,0,,1.000000
2000757,Urban0,0.000000,207135.000000,0,1,0,0,,1.000000
2000756,TimberPlantation0,0.000000,8346.000000,0,1,0,0,,1.000000
2000753,Swampwoodland0,0.000000,707888.000000,0,28,0,0,,1.000000
2000752,Swampgrassland0,0.000000,33356.000000,0,1,0,0,,1.000000
2000749,SwampforestwithCampnosperma0,0.000000,35770.000000,0,3,0,0,,1.000000
2000747,Swamp0,0.000000,103956.000000,0,9,0,0,,1.000000
2000745,SeralForestVolcanicsuccessions0,0.000000,80164.000000,0,2,0,0,,1.000000
2000744,Scrub0,0.000000,18072.000000,0,2,0,0,,1.000000
2000739,RiverinesuccessionswithEucalyptusdeglupta0,0.000000,1273365.000000,0,31,0,0,,1.000000
2000736,Riverinesuccessionsdominatedbywoodland0,0.000000,16031.000000,0,1,0,0,,1.000000
2000733,Oilpalm0,0.000000,4099919.000000,0,32,0,0,,1.000000
2000732,Mixedforest0,0.000000,6338.000000,0,2,0,0,,1.000000
2000730,Mangrove0,0.000000,1168730.000000,0,61,0,0,,1.000000
2000729,Landuse040,0.000000,43712543.000000,0,78,0,0,,1.000000
2000728,Lakesandlargerrivers0,0.000000,12137989.000000,0,36,0,0,,1.000000
2000727,Herbaceousswamp0,0.000000,947393.000000,0,24,0,0,,1.000000
2000726,Grasslands0,0.000000,1522845.000000,0,4,0,0,,1.000000
2000725,Grasslandwithsomeforest0,0.000000,3176974.000000,0,14,0,0,,1.000000
2000724,Grasslandrevertingtoforest0,0.000000,68460.000000,0,2,0,0,,1.000000
2000722,ForestwithCasuarinaequisetifoliaLittoral0,0.000000,46107.000000,0,2,0,0,,1.000000
2000719,ForestVerySmallCrownLowMontane1000mNotho0,0.000000,264139.000000,0,14,0,0,,1.000000
2000717,ForestVerySmallCrownLowMontane1000m0,0.000000,1285660.000000,0,17,0,0,,1.000000
2000716,ForestSmallCrownLowMontane1000mwNothofag0,0.000000,25019.000000,0,2,0,0,,1.000000
2000714,ForestSmallCrownLowMontane1000m0,0.000000,505308.000000,0,23,0,0,,1.000000
2000711,ForestSmallCrownLowAltUplands1000m0,0.000000,370969.000000,0,10,0,0,,1.000000
2000710,ForestSmallCrownLowAltPlains1000m0,0.000000,8344.000000,0,1,0,0,,1.000000
2000709,ForestSmallCrown0,0.000000,24993.000000,0,3,0,0,,1.000000
2000708,ForestOpenLowAltPlains1000m0,0.000000,3502389.000000,0,106,0,0,,1.000000
2000706,ForestMediumCrownLowAltUplands1000m0,0.000000,11464164.000000,0,416,0,0,,1.000000
2000705,ForestLargeCrownLowAltUplands1000m0,0.000000,1931253.000000,0,30,0,0,,1.000000
2000704,ForestLargecrownLowAltPlains1000m0,0.000000,2142484.000000,0,83,0,0,,1.000000
2000702,Cultivatedland0,0.000000,39522.000000,0,3,0,0,,1.000000
2000701,Bare0,0.000000,0.000000,0,0,0,0,,1.000000
2000500,climref,869876525.200000,5492515387.000000,0,3164,0,0,yes,1.000000
2000404,Platymantisnakanaiorum,190757282.000000,190891697.000000,0,110,0,0,yes,1.000000
2000403,Platymantismamusiorum,68095335.500000,99232086.000000,0,60,0,0,yes,1.000000
2000345,WetlandswithBackswamps,47416356.310000,191899221.000000,0,142,0,0,yes,1.000000
2000344,UndifferentiatedWetlands,37769130.350000,69475303.000000,0,62,0,0,yes,1.000000
2000343,VolcanicRidgeswithSlope510,34800701.700000,66498515.000000,0,91,0,0,yes,1.000000
2000342,VolcanicRidgeswithSlope25,2442112.050000,3513760.000000,0,5,0,0,yes,1.000000
2000341,VolcanicRidgeswithSlope1020,198988393.370000,440637999.000000,0,409,0,0,yes,1.000000
2000340,VolcanicRidgeswithSlope20,88935264.040000,176512730.000000,0,176,0,0,yes,1.000000
2000339,LeveeplainRiverValleys,41061056.760000,56081392.000000,0,57,0,0,yes,1.000000
2000337,OtherRidgeswithSlope1020,8319525.110000,9074734.000000,0,15,0,0,yes,1.000000
2000336,OtherRidgeswithSlope20,2279594.430000,3214544.000000,0,4,0,0,yes,1.000000
2000335,LimestoneRidgeswithSlope510,26805359.450000,97025739.000000,0,90,0,0,yes,1.000000
2000334,LimestoneRidgeswithSlope25,8103754.820000,47365963.000000,0,48,0,0,yes,1.000000
2000333,LimestoneRidgeswithSlope1020,45701233.790000,125504642.000000,0,124,0,0,yes,1.000000
2000332,LimestoneRidgeswithSlope20,25241389.710000,99053504.000000,0,89,0,0,yes,1.000000
2000330,Lakes,9548452.730000,11569925.000000,0,12,0,0,yes,1.000000
2000329,random,22761.810000,118173.000000,0,4,0,0,yes,1.000000
2000328,VolcanicFoothillswithSlope510,414600029.680000,777071515.000000,0,707,0,0,yes,1.000000
2000327,VolcanicFoothillswithSlope25,232016911.370000,236374461.000000,0,284,0,0,yes,1.000000
2000326,VolcanicFoothillswithSlope1020,432875897.530000,904775995.000000,0,781,0,0,yes,1.000000
2000325,VolcanicFoothillswithSlope20,41010631.360000,44781000.000000,0,76,0,0,yes,1.000000
2000324,VolcanicFoothillswithSlope2,54279441.950000,54936136.000000,0,69,0,0,yes,1.000000
2000323,OtherFoothillswithSlope510,201559517.570000,376448315.000000,0,331,0,0,yes,1.000000
2000322,OtherFoothillswithSlope25,159879910.710000,294428945.000000,0,245,0,0,yes,1.000000
2000321,OtherFoothillswithSlope1020,44356842.170000,129901692.000000,0,109,0,0,yes,1.000000
2000320,OtherFoothillswithSlope20,3840559.760000,4682239.000000,0,6,0,0,yes,1.000000
2000319,OtherFoothillswithSlope2,7471601.490000,8198130.000000,0,11,0,0,yes,1.000000
2000318,LimestoneFoothillswithSlope510,179485585.540000,362942820.000000,0,327,0,0,yes,1.000000
2000317,LimestoneFoothillswithSlope25,282113935.460000,677768749.000000,0,507,0,0,yes,1.000000
2000316,LimestoneFoothillswithSlope1020,44122233.840000,91221024.000000,0,97,0,0,yes,1.000000
2000315,LimestoneFoothillswithSlope20,5362734.490000,5590482.000000,0,9,0,0,yes,1.000000
2000314,LimestoneFoothillswithSlope20,44322253.970000,115288062.000000,0,120,0,0,yes,1.000000
2000313,AcidIgneousFoothillswithSlope510,2906208.820000,6777639.000000,0,7,0,0,yes,1.000000
2000312,AcidIgneousFoothillswithSlope25,605478.800000,784307.000000,0,3,0,0,yes,1.000000
2000311,AcidIgneousFoothillswithSlope1020,8125188.250000,16639966.000000,0,23,0,0,yes,1.000000
2000309,CoastalplainswithNofloodingorinundation,216591750.910000,448327369.000000,0,332,0,0,yes,1.000000
2000307,MangrovesFlats,28298357.930000,49453812.000000,0,85,0,0,yes,1.000000
2000306,CoastalCoralFlats,1147215.250000,4169068.000000,0,6,0,0,yes,1.000000
2000305,CoastalBeachSandFlats,263532942.770000,281258669.000000,0,193,0,0,yes,1.000000
2000304,UndifferentiatedAlluvialPlains,15087338.500000,36851329.000000,0,33,0,0,yes,1.000000
2000302,CompositeAlluvialPlains,185603918.010000,302164549.000000,0,239,0,0,yes,1.000000
2000113,Dolphins,4504105.500000,5265518.000000,0,5,0,0,yes,1.000000
2000111,Crocodilebreedinggrounds,18029155.500000,21236088.000000,0,43,0,0,yes,1.000000
2000110,Dugonghabitat,35196050.000000,36599689.000000,0,69,0,0,yes,1.000000
2000109,CusCushabitat,3140763.500000,4692050.000000,0,12,0,0,yes,1.000000
2000108,Cassowaryhabitat,6252794.000000,6296243.000000,0,16,0,0,yes,1.000000
2000107,BirdSanctuary,932480.500000,1010807.000000,0,4,0,0,yes,1.000000
2000106,Turtlenestingbeachmarine,2566253.500000,2586382.000000,0,10,0,0,yes,1.000000
2000104,Sagopalmareaswamp,6894890.400000,7074148.000000,0,24,0,0,yes,1.000000
2000103,PandanusMarita,235557.300000,783341.000000,0,2,0,0,yes,1.000000
2000102,PandanusKaruka,262935.900000,686004.000000,0,2,0,0,yes,1.000000
2000101,Churchland,0.000000,3527669.000000,0,9,0,0,,1.000000
2000098,Caves,3565105.200000,3588863.000000,0,15,0,0,yes,1.000000
2000096,Volcano,0.000000,22049905.000000,0,25,0,0,,1.000000
2000095,Waterfall,471114.900000,550710.000000,0,2,0,0,yes,1.000000
2000093,Hotspring,2671026.900000,2795415.000000,0,9,0,0,yes,1.000000
2000092,Freshwaterlake,2723975.800000,2940467.000000,0,10,0,0,yes,1.000000
2000090,Villagesmissingnameslocation,0.000000,4284160.000000,0,12,0,0,,1.000000
2000089,MissionStations,0.000000,1980233.000000,0,8,0,0,,1.000000
2000088,Clams,0.000000,35276273.000000,0,61,0,0,,1.000000
2000086,Bechedemerreef,0.000000,35885047.000000,0,63,0,0,,1.000000
2000085,Tuna,187973.500000,227543.000000,0,1,0,0,yes,1.000000
2000082,Miningsmallscalealluvial,0.000000,0.000000,0,0,0,0,,1.000000
2000080,Miningproposed,0.000000,71038655.000000,0,46,0,0,,1.000000
2000079,Miningcurrent,0.000000,0.000000,0,0,0,0,,1.000000
2000078,BiologicalResearchStaion,5571184.500000,5589582.000000,0,16,0,0,yes,1.000000
2000077,ResourceCentreproposed,0.000000,0.000000,0,0,0,0,,1.000000
2000076,ResourceCentreexisting,0.000000,23957.000000,0,1,0,0,,1.000000
2000075,Wharfproposed,0.000000,513353.000000,0,2,0,0,,1.000000
2000074,Wharfexisting,0.000000,0.000000,0,0,0,0,,1.000000
2000073,Jettiesproposed,0.000000,768251.000000,0,5,0,0,,1.000000
2000072,Jettiesexisting,0.000000,0.000000,0,0,0,0,,1.000000
2000071,Fishmarket,0.000000,0.000000,0,0,0,0,,1.000000
2000070,Markets,0.000000,95850.000000,0,1,0,0,,1.000000
2000068,Digicelltower,0.000000,3290999.000000,0,12,0,0,,1.000000
2000067,Roadsproposed,0.000000,0.000000,0,0,0,0,,1.000000
2000065,Reservoirwatersupply,0.000000,0.000000,0,0,0,0,,1.000000
2000064,Hydroelectricpowerproposed,0.000000,0.000000,0,0,0,0,,1.000000
2000063,Solarpowerplantproposed,0.000000,0.000000,0,0,0,0,,1.000000
2000062,Powerstationexisting,0.000000,1758728.000000,0,6,0,0,,1.000000
2000060,Reforestationproposed,148689891.600000,240358796.000000,0,158,0,0,yes,1.000000
2000057,LoggingexpiredTRPFMA,0.000000,125108761.000000,0,84,0,0,,1.000000
2000056,Loggingcurrent,0.000000,640349397.000000,0,374,0,0,,1.000000
2000055,Forestplanationreforestation,0.000000,0.000000,0,0,0,0,,1.000000
2000055,Forestplanationreforestation,96418091.100000,123567518.000000,0,79,0,0,yes,1.000000
2000053,Bambooforest,0.000000,0.000000,0,0,0,0,,1.000000
2000052,Balsawoodlots,0.000000,0.000000,0,0,0,0,,1.000000
2000051,Forestvirginuntouched,669125111.500000,702969075.000000,0,419,0,0,yes,1.000000
2000050,Nontimberbuildingmaterialforest,0.000000,742512.000000,0,2,0,0,,1.000000
2000049,Megapodeeggs,0.000000,0.000000,0,0,0,0,,1.000000
2000048,HuntingZone,0.000000,10123069.000000,0,18,0,0,,1.000000
2000047,Fishingzonesmarine,0.000000,478541.000000,0,1,0,0,,1.000000
2000046,Fishingzonefreshwater,0.000000,785191.000000,0,1,0,0,,1.000000
2000043,Gamefishingsite,1177787.000000,1570383.000000,0,6,0,0,yes,1.000000
2000042,Tourismforest,2355573.500000,2490712.000000,0,8,0,0,yes,1.000000
2000041,Tourismcoralreefs,34223862.500000,35734119.000000,0,61,0,0,yes,1.000000
2000040,Touristtracks,1570382.500000,1726656.000000,0,6,0,0,yes,1.000000
2000039,Surfingsite,0.000000,430236.000000,0,2,0,0,,1.000000
2000038,Guesthouse,0.000000,546068.000000,0,2,0,0,,1.000000
2000037,Resettlementareafromnaturaldisaster,0.000000,390384.000000,0,1,0,0,,1.000000
2000036,Floodways,0.000000,309130.000000,0,2,0,0,,1.000000
2000035,Disasteraffectedarea,0.000000,897256.000000,0,2,0,0,,1.000000
2000034,ShellTabuMoney,0.000000,999956.000000,0,8,0,0,,1.000000
2000033,WWIIsites,0.000000,993440.000000,0,6,0,0,,1.000000
2000032,SacredSitesPlesTambu,0.000000,1935469.000000,0,9,0,0,,1.000000
2000031,Cemetary,0.000000,1408236.000000,0,7,0,0,,1.000000
2000029,WildlifeMngtAreaWMA,8556180.500000,9866734.000000,0,10,0,0,yes,1.000000
2000028,ConservationAreaTerrestrialproposed,664076882.500000,715769577.000000,0,412,0,0,yes,1.000000
2000027,ConservationAreaTerrestrial,392595.500000,785191.000000,0,1,0,0,yes,1.000000
2000026,ConservationAreaMarineproposed,4927810.500000,4938884.000000,0,17,0,0,yes,1.000000
2000025,ConservationAreaMarine,671923.000000,873216.000000,0,2,0,0,yes,1.000000
2000024,Mangroves,2113342.800000,2288372.000000,0,6,0,0,yes,1.000000
2000023,Shellsmangroves,23995590.000000,39363518.000000,0,76,0,0,yes,1.000000
2000022,Seagrassbeds,20386036.500000,35685565.000000,0,62,0,0,yes,1.000000
2000021,Uniqueorchidspecies,392596.000000,785192.000000,0,3,0,0,yes,1.000000
2000016,Spiceagriculturalactivity,0.000000,0.000000,0,0,0,0,,1.000000
2000015,Commercialfloriculture,0.000000,21626225.000000,0,22,0,0,,1.000000
2000014,Researchsites,2119976.100000,2323936.000000,0,7,0,0,yes,1.000000
2000013,OilPlamproposed,0.000000,23612904.000000,0,27,0,0,,1.000000
2000012,OilPalmexisting,0.000000,19725095.000000,0,24,0,0,,1.000000
2000010,Introducedcrops,0.000000,0.000000,0,0,0,0,,1.000000
2000009,FruitandVeggiefarming,0.000000,0.000000,0,0,0,0,,1.000000
2000008,Fishfarmpond,0.000000,0.000000,0,0,0,0,,1.000000
2000007,CattlefarmPigfarmChickenfarm,0.000000,383877.000000,0,2,0,0,,1.000000
2000006,CashcropsVanilla,0.000000,344941.000000,0,3,0,0,,1.000000
2000005,Cashcropscoconut,0.000000,10894899.000000,0,27,0,0,,1.000000
2000004,Cashcropscocoa,0.000000,21923276.000000,0,35,0,0,,1.000000
2000003,CashCropCoffee,0.000000,0.000000,0,0,0,0,,1.000000
2000002,BeetleNutFarm,0.000000,114189.000000,0,1,0,0,,1.000000
1000969,Woodland100,9509.460000,17842.000000,0,1,0,0,yes,1.000000
1000967,Volcanicsuccessionsdominatedbyscrub100,3831787.760000,11269964.000000,0,19,0,0,yes,1.000000
1000964,TimberPlantation100,0.000000,16195794.000000,0,16,0,0,,1.000000
1000961,Swampwoodland100,5792904.700000,5808016.000000,0,9,0,0,yes,1.000000
1000960,Swampgrassland100,1587577.980000,2094732.000000,0,5,0,0,yes,1.000000
1000953,SeralForestVolcanicsuccessions100,8795695.960000,22867428.000000,0,21,0,0,yes,1.000000
1000952,Scrub100,80063.200000,172337.000000,0,2,0,0,yes,1.000000
1000947,RiverinesuccessionswithEucalyptusdeglupta100,30935888.380000,31604218.000000,0,69,0,0,yes,1.000000
1000943,Riverinesuccessionsdominatedbygrass100,860890.540000,1055154.000000,0,3,0,0,yes,1.000000
1000940,Mixedforest100,7835228.940000,8226931.000000,0,10,0,0,yes,1.000000
1000938,Mangrove100,6310546.200000,7678847.000000,0,14,0,0,yes,1.000000
1000937,Lakesandlargerrivers100,85893.860000,121400.000000,0,2,0,0,yes,1.000000
