"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,13870.867004,8699.223185,8618,8619406.364000,108283924.481035,18374145.664995,8619406.364001,81290372.452021,0.169685,0.000000,0.000000,0,1.000000
2,14031.247186,8531.111262,9366,9166893.206000,108283924.481035,20069248.745996,9166893.206000,79047782.529020,0.185339,0.000000,0.000000,0,1.000000
3,14483.283674,9226.358357,8274,8761542.194000,108283924.481035,17397618.919995,8761542.194001,82124763.367022,0.160667,0.000000,0.000000,0,1.000000
4,13720.819823,8668.149169,8406,8421117.756000,108283924.481035,17915274.629996,8421117.756001,81947532.095022,0.165447,0.000000,0.000000,0,1.000000
5,13756.981358,8305.277126,9258,9086173.721000,108283924.481035,19825336.518996,9086173.721001,79372414.241021,0.183087,0.000000,0.000000,0,1.000000
6,14268.143884,8747.002840,9139,9198478.850000,108283924.481035,19455958.353996,9198478.850000,79629487.277020,0.179675,2.053734,919.500000,0,0.999614
7,14114.863141,8836.880646,9054,8796637.492000,108283924.481035,19433146.503996,8796637.492001,80054140.485021,0.179465,0.000000,0.000000,0,1.000000
8,13547.204667,8433.427788,8753,8522894.276000,108283924.481035,18777741.660996,8522894.276001,80983288.544022,0.173412,0.040314,18.000000,0,0.999992
9,13793.470020,8588.141044,9206,8668539.754000,108283924.481035,19897281.844996,8668539.754001,79718102.882020,0.183751,4.205123,651.400000,0,0.992868
10,13572.222561,8411.107371,8284,8601858.650000,108283924.481035,17503782.193995,8601858.650001,82178283.637021,0.161647,0.000000,0.000000,0,1.000000
11,13806.206132,8467.918064,8977,8891394.882000,108283924.481035,19183092.412996,8891394.882001,80209437.186021,0.177155,3.451139,2529.540000,0,0.999607
12,14209.901491,8743.887253,9201,9086173.730000,108283924.481035,19675304.089996,9086173.730001,79522446.661021,0.181701,14.309999,6799.960000,0,0.998390
13,14371.360194,8741.391244,9460,9375710.134000,108283924.481035,20212262.138996,9375710.134000,78695952.208020,0.186660,4.542870,2251.840000,0,0.998156
14,13686.430070,8274.900118,9053,9017738.022000,108283924.481035,19319964.079996,9017738.022001,79946222.379021,0.178420,0.887139,711.500000,0,0.998596
15,13407.404954,8351.538251,8564,8403570.174000,108283924.481035,18339927.806996,8403570.174001,81540426.500022,0.169369,13.724599,3391.100000,0,0.999231
16,13396.883267,8112.583524,9303,8807166.238000,108283924.481035,20083286.924996,8807166.238001,79393471.318021,0.185469,0.000000,0.000000,0,1.000000
17,13063.740677,7971.617809,8470,8477270.416000,108283924.481035,18055655.735995,8477270.416001,81750998.329022,0.166744,5.760619,5474.620000,0,0.997967
18,13198.893129,8229.398247,8595,8282491.470000,108283924.481035,18482063.693996,8282491.470001,81519369.317022,0.170682,0.000000,0.000000,0,1.000000
19,13531.235543,8166.918568,8981,8940528.292000,108283924.481035,19169054.325996,8940528.292001,80174341.863021,0.177026,0.000000,0.000000,0,1.000000
20,13366.106604,8162.877001,8870,8672049.338000,108283924.481035,19011125.412996,8672049.338001,80600749.730021,0.175567,0.000000,0.000000,0,1.000000
21,13145.895805,8211.008539,8910,8222829.326000,108283924.481035,19341021.316996,8222829.326001,80720073.838021,0.178614,1.189671,309.100000,0,0.999121
22,13414.236933,8076.241311,8905,8896659.369000,108283924.481035,18990945.575996,8896659.369001,80396319.536021,0.175381,0.000000,0.000000,0,1.000000
23,13419.254769,8329.290786,8667,8479024.956000,108283924.481035,18573311.616996,8479024.956001,81231587.908021,0.171524,2.549010,2295.160000,0,0.999614
24,13825.975195,8743.955173,8078,8463232.338000,108283924.481035,17030872.950996,8463232.338001,82789819.192022,0.157280,4.080619,3400.600000,0,0.999231
25,14314.479662,9191.093121,8120,8529913.300000,108283924.481035,17108082.667995,8529913.300001,82645928.513021,0.157993,5.438561,8322.560000,0,0.998569
26,14438.028062,8961.055062,9596,9128288.334000,108283924.481035,20693945.164996,9128288.334000,78461690.982020,0.191108,0.000000,0.000000,0,1.000000
27,13666.281727,8236.687491,9087,9049323.726000,108283924.481035,19393664.255996,9049323.726001,79840936.499021,0.179100,0.000000,0.000000,0,1.000000
28,13964.053409,8478.657612,9251,9142326.328000,108283924.481035,19778835.170996,9142326.328000,79362762.982021,0.182657,0.000000,0.000000,0,1.000000
29,13329.625835,8216.605828,8956,8519384.706000,108283924.481035,19313822.383996,8519384.706001,80450717.391021,0.178363,1.389184,458.000000,0,0.999231
30,13517.325515,8372.453305,8916,8572027.662000,108283924.481035,19182215.027996,8572027.662001,80529681.791021,0.177147,1.655613,354.400000,0,0.998484
31,14433.585016,8920.923185,9416,9186195.458000,108283924.481035,20191205.011996,9186195.458000,78906524.011020,0.186465,0.944556,396.900000,0,0.999834
32,13972.375201,8497.575612,8421,9121269.150000,108283924.481035,17604681.199996,9121269.150000,81557974.131022,0.162579,2.038099,910.000000,0,0.999614
33,14123.207832,8706.247882,9193,9028266.583000,108283924.481035,19683200.474996,9028266.583001,79572457.423021,0.181774,0.000000,0.000000,0,1.000000
34,14335.630627,9079.758096,9037,8759787.552000,108283924.481035,19406824.957996,8759787.552001,80117311.971021,0.179222,0.000000,0.000000,0,1.000000
35,14317.133289,8927.038139,9367,8956321.290000,108283924.481035,20177166.841996,8956321.290001,79150436.349021,0.186336,16.302376,10675.920000,0,0.995507
36,15043.176698,9489.345012,9450,9256386.144000,108283924.481035,20245602.664996,9256386.144000,78781935.672020,0.186968,0.000000,0.000000,0,1.000000
37,14337.507284,8860.534370,9477,9128288.189000,108283924.481035,20380719.623996,9128288.189000,78774916.668020,0.188216,0.000000,0.000000,0,1.000000
38,14083.284108,8796.253932,8778,8791373.234000,108283924.481035,18709305.877996,8791373.234001,80783245.369021,0.172780,12.206236,2505.600000,0,0.999628
39,14258.396112,9082.660931,8736,8619406.462000,108283924.481035,18684739.025996,8619406.462001,80979778.993021,0.172553,4.091304,2157.500000,0,0.999614
40,14201.668722,9058.668885,8812,8565008.622000,108283924.481035,18911981.187996,8565008.622001,80806934.671021,0.174652,3.994664,1682.200000,0,0.999622
41,14573.647332,9125.731245,9424,9079154.782000,108283924.481035,20265782.488996,9079154.782001,78938987.210021,0.187154,0.423218,1729.340000,0,0.999841
42,14115.893486,8943.722406,8643,8619406.314000,108283924.481035,18439949.385996,8619406.314001,81224568.781021,0.170293,0.527292,277.700000,0,0.999941
43,14151.514692,9018.959990,9059,8540441.828000,108283924.481035,19574405.069996,8540441.828001,80169077.583021,0.180769,8.289605,11980.750000,0,0.996687
