"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,3008598294.966694,3004739659.000000,922,37720318.824429,275577496.942233,30087908.442500,37720318.824429,207769269.675297,0.109181,3858635.966694,513.574000,0,0.966139
2,3010206014.671636,3005445171.000000,918,39040771.064073,275577496.942233,29466365.559700,39040771.064073,207070360.318453,0.106926,4760843.671636,306.204000,0,0.995014
3,2986275936.279046,2980929717.000000,928,38166035.396865,275577496.942233,30194678.009600,38166035.396865,207216783.535761,0.109569,5346219.279046,329.736000,0,0.978703
4,2999883845.707011,2999282869.000000,917,37747938.763131,275577496.942233,30047541.031000,37747938.763131,207782017.148095,0.109035,600976.707011,267.342000,0,0.986514
5,3020146346.923494,2995954670.000000,929,39325652.109140,275577496.942233,29877841.183200,39325652.109140,206374003.649886,0.108419,24191676.923494,659.018000,0,0.982670
6,2998080183.484045,2995928686.000000,920,37891784.943543,275577496.942233,30403844.942100,37891784.943543,207281867.056583,0.110328,2151497.484044,210.674000,0,0.992008
7,3010044947.833543,3009140862.000000,924,38682967.265924,275577496.942233,29783179.338700,38682967.265924,207111350.337602,0.108076,904085.833543,371.956000,0,0.992413
8,3004834422.913060,3001189563.000000,930,38758284.455838,275577496.942233,29872406.460900,38758284.455838,206946806.025488,0.108399,3644859.913060,256.374000,0,0.996907
9,3040031141.972819,3016427273.000000,923,36864735.266733,275577496.942233,30790946.250200,36864735.266733,207921815.425293,0.111732,23603868.972819,718.192000,0,0.987645
10,3024001731.087927,3022855987.000000,917,37331776.109989,275577496.942233,30534208.684300,37331776.109989,207711512.147937,0.110801,1145744.087927,460.796000,0,0.996048
