"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
2000968,Volcanicsuccessionsdominatedbywoodland100,8968015.780000,23187181.000000,0,20,0,0,yes,1.000000
2000967,Volcanicsuccessionsdominatedbyscrub100,22860710.560000,23475317.000000,0,29,0,0,yes,1.000000
2000966,Volcanicsuccessionsdominatedbygrass100,731769.080000,1283607.000000,0,4,0,0,yes,1.000000
2000965,Urban100,0.000000,0.000000,0,0,0,0,,1.000000
2000964,TimberPlantation100,10118765.840000,10997758.000000,0,8,0,0,yes,1.000000
2000961,Swampwoodland100,94917804.080000,146812417.000000,0,166,0,0,yes,1.000000
2000960,Swampgrassland100,2731165.600000,2778776.000000,0,5,0,0,yes,1.000000
2000957,SwampforestwithCampnosperma100,15142310.720000,15384483.000000,0,31,0,0,yes,1.000000
2000955,Swamp100,55623349.920000,93770786.000000,0,124,0,0,yes,1.000000
2000953,SeralForestVolcanicsuccessions100,27412781.520000,27742265.000000,0,33,0,0,yes,1.000000
2000952,Scrub100,3883653.060000,4216773.000000,0,16,0,0,yes,1.000000
2000947,RiverinesuccessionswithEucalyptusdeglupta100,24485008.200000,27519125.000000,0,56,0,0,yes,1.000000
2000944,Riverinesuccessionsdominatedbywoodland100,1237214.440000,1338228.000000,0,6,0,0,yes,1.000000
2000941,Oilpalm100,0.000000,77422270.000000,0,88,0,0,,1.000000
2000940,Mixedforest100,4956992.600000,5625962.000000,0,6,0,0,yes,1.000000
2000938,Mangrove100,45769455.640000,45772838.000000,0,134,0,0,yes,1.000000
2000937,Lakesandlargerrivers100,3494124.580000,4166978.000000,0,36,0,0,yes,1.000000
2000936,Herbaceousswamp100,22134501.840000,44613060.000000,0,61,0,0,yes,1.000000
2000935,Grasslands100,573343.020000,1686303.000000,0,8,0,0,yes,1.000000
2000934,Grasslandwithsomeforest100,10700492.240000,11221676.000000,0,16,0,0,yes,1.000000
2000933,Grasslandrevertingtoforest100,462012.060000,745672.000000,0,3,0,0,yes,1.000000
2000931,ForestwithCasuarinaequisetifoliaLittoral100,568292.660000,713095.000000,0,2,0,0,yes,1.000000
2000928,ForestVerySmallCrownLowMontane1000mNotho100,28448717.320000,67665826.000000,0,60,0,0,yes,1.000000
2000926,ForestVerySmallCrownLowMontane1000m100,41197124.760000,42045147.000000,0,59,0,0,yes,1.000000
2000925,ForestSmallCrownLowMontane1000mwNothofag100,4637271.220000,6108945.000000,0,6,0,0,yes,1.000000
2000923,ForestSmallCrownLowMontane1000m100,155167616.280000,208210158.000000,0,229,0,0,yes,1.000000
2000920,ForestSmallCrownLowAltUplands1000m100,308177647.980000,459614879.000000,0,310,0,0,yes,1.000000
2000919,ForestSmallCrownLowAltPlains1000m100,2834048.580000,3290083.000000,0,9,0,0,yes,1.000000
2000918,ForestSmallCrown100,93703916.700000,93736750.000000,0,65,0,0,yes,1.000000
2000917,ForestOpenLowAltPlains1000m100,155153306.360000,155654277.000000,0,192,0,0,yes,1.000000
2000915,ForestMediumCrownLowAltUplands1000m100,3269326579.060000,3269327242.000000,0,2156,0,0,yes,1.000000
2000914,ForestLargeCrownLowAltUplands1000m100,118445695.620000,118899240.000000,0,103,0,0,yes,1.000000
2000913,ForestLargecrownLowAltPlains1000m100,181585292.600000,181953102.000000,0,182,0,0,yes,1.000000
2000911,Cultivatedland100,0.000000,3426503.000000,0,13,0,0,,1.000000
2000905,RiverinesuccessionswithEucalyptusdeglupta90,1508090.060000,3270012.000000,0,7,0,0,yes,1.000000
2000904,Oilpalm90,0.000000,0.000000,0,0,0,0,,1.000000
2000896,ForestSmallCrownLowAltUplands1000m90,19617706.240000,19814501.000000,0,20,0,0,yes,1.000000
2000894,ForestOpenLowAltPlains1000m90,49221104.020000,49956773.000000,0,33,0,0,yes,1.000000
2000892,ForestMediumCrownLowAltUplands1000m90,668708594.220000,669895620.000000,0,536,0,0,yes,1.000000
2000891,ForestLargeCrownLowAltUplands1000m90,34750403.800000,36626299.000000,0,38,0,0,yes,1.000000
2000890,ForestLargecrownLowAltPlains1000m90,27062255.460000,29434055.000000,0,33,0,0,yes,1.000000
2000879,RiverinesuccessionswithEucalyptusdeglupta80,1723513.720000,1934507.000000,0,7,0,0,yes,1.000000
2000877,Oilpalm80,0.000000,193789.000000,0,3,0,0,,1.000000
2000866,ForestSmallCrownLowAltUplands1000m80,3115334.660000,4237900.000000,0,4,0,0,yes,1.000000
